partsid,datalink,totalcfp,cfp,parents_partsid
P00001,postgresA,0.0,7.098,NULL
P00002,postgresC,0.0,7.181,P00001
P00003,postgresA,0.0,8.95,P00001
P00004,postgresB,0.0,7.477,P00001
P00005,postgresB,0.0,3.947,P00002
P00006,postgresC,0.0,4.453,P00002
P00007,postgresB,0.0,7.194,P00002
P00008,postgresC,0.0,2.447,P00003
P00009,postgresA,0.0,2.683,P00003
P00010,postgresA,0.0,5.55,P00003
P00011,postgresC,0.0,7.403,P00004
P00012,postgresB,0.0,3.834,P00004
P00013,postgresB,0.0,4.051,P00004
P00014,postgresC,0.0,3.091,P00005
P00015,postgresA,0.0,6.346,P00005
P00016,postgresB,0.0,2.656,P00005
P00017,postgresC,0.0,9.249,P00006
P00018,postgresA,0.0,1.668,P00006
P00019,postgresB,0.0,4.013,P00006
P00020,postgresC,0.0,0.167,P00007
P00021,postgresC,0.0,3.509,P00007
P00022,postgresB,0.0,7.368,P00007
P00023,postgresA,0.0,1.179,P00008
P00024,postgresC,0.0,7.628,P00008
P00025,postgresA,0.0,8.072,P00008
P00026,postgresC,0.0,1.621,P00009
P00027,postgresB,0.0,1.507,P00009
P00028,postgresB,0.0,0.1,P00009
P00029,postgresA,0.0,1.535,P00010
P00030,postgresC,0.0,6.476,P00010
P00031,postgresB,0.0,4.087,P00010
P00032,postgresA,0.0,1.465,P00011
P00033,postgresC,0.0,5.037,P00011
P00034,postgresB,0.0,1.527,P00011
P00035,postgresC,0.0,2.218,P00012
P00036,postgresC,0.0,5.018,P00012
P00037,postgresB,0.0,4.076,P00012
P00038,postgresC,0.0,4.348,P00013
P00039,postgresA,0.0,2.765,P00013
P00040,postgresA,0.0,8.146,P00013
P00041,postgresC,0.0,2.268,P00014
P00042,postgresA,0.0,6.466,P00014
P00043,postgresC,0.0,4.915,P00014
P00044,postgresB,0.0,2.659,P00015
P00045,postgresC,0.0,8.3,P00015
P00046,postgresA,0.0,9.65,P00015
P00047,postgresA,0.0,1.228,P00016
P00048,postgresA,0.0,4.414,P00016
P00049,postgresC,0.0,6.692,P00016
P00050,postgresA,0.0,4.007,P00017
P00051,postgresB,0.0,2.177,P00017
P00052,postgresB,0.0,3.531,P00017
P00053,postgresC,0.0,5.783,P00018
P00054,postgresB,0.0,8.881,P00018
P00055,postgresB,0.0,0.597,P00018
P00056,postgresA,0.0,4.316,P00019
P00057,postgresA,0.0,4.328,P00019
P00058,postgresC,0.0,7.49,P00019
P00059,postgresA,0.0,4.722,P00020
P00060,postgresB,0.0,1.935,P00020
P00061,postgresA,0.0,4.188,P00020
P00062,postgresB,0.0,7.854,P00021
P00063,postgresB,0.0,8.959,P00021
P00064,postgresB,0.0,6.739,P00021
P00065,postgresC,0.0,0.254,P00022
P00066,postgresA,0.0,3.09,P00022
P00067,postgresA,0.0,2.966,P00022
P00068,postgresC,0.0,3.156,P00023
P00069,postgresB,0.0,2.251,P00023
P00070,postgresC,0.0,4.144,P00023
P00071,postgresB,0.0,6.574,P00024
P00072,postgresB,0.0,5.061,P00024
P00073,postgresA,0.0,1.101,P00024
P00074,postgresB,0.0,2.404,P00025
P00075,postgresA,0.0,2.222,P00025
P00076,postgresC,0.0,1.395,P00025
P00077,postgresA,0.0,0.712,P00026
P00078,postgresA,0.0,9.001,P00026
P00079,postgresB,0.0,6.141,P00026
P00080,postgresB,0.0,1.848,P00027
P00081,postgresB,0.0,8.979,P00027
P00082,postgresA,0.0,5.696,P00027
P00083,postgresA,0.0,0.506,P00028
P00084,postgresB,0.0,9.778,P00028
P00085,postgresA,0.0,2.652,P00028
P00086,postgresA,0.0,5.015,P00029
P00087,postgresC,0.0,0.999,P00029
P00088,postgresB,0.0,6.499,P00029
P00089,postgresC,0.0,0.807,P00030
P00090,postgresC,0.0,0.035,P00030
P00091,postgresA,0.0,9.931,P00030
P00092,postgresB,0.0,9.691,P00031
P00093,postgresA,0.0,6.3,P00031
P00094,postgresB,0.0,4.657,P00031
P00095,postgresC,0.0,0.229,P00032
P00096,postgresC,0.0,1.374,P00032
P00097,postgresA,0.0,2.694,P00032
P00098,postgresC,0.0,3.795,P00033
P00099,postgresB,0.0,6.698,P00033
P00100,postgresC,0.0,6.048,P00033
P00101,postgresB,0.0,0.772,P00034
P00102,postgresC,0.0,1.038,P00034
P00103,postgresA,0.0,8.581,P00034
P00104,postgresB,0.0,5.901,P00035
P00105,postgresB,0.0,7.642,P00035
P00106,postgresA,0.0,1.321,P00035
P00107,postgresC,0.0,5.296,P00036
P00108,postgresB,0.0,6.522,P00036
P00109,postgresA,0.0,5.992,P00036
P00110,postgresB,0.0,1.336,P00037
P00111,postgresA,0.0,0.081,P00037
P00112,postgresA,0.0,9.794,P00037
P00113,postgresB,0.0,7.91,P00038
P00114,postgresC,0.0,7.891,P00038
P00115,postgresC,0.0,7.941,P00038
P00116,postgresC,0.0,9.844,P00039
