partsid,totalcfp
P00001,0.0
P00002,0.0
P00003,0.0
P00004,0.0
P00005,0.0
P00006,0.0
P00007,0.0
P00008,0.0
P00009,0.0
P00010,0.0
P00011,0.0
P00012,0.0
P00013,0.0
P00014,0.0
P00015,0.0
P00016,0.0
P00017,0.0
P00018,0.0
P00019,0.0
P00020,0.0
P00021,0.0
P00022,0.0
P00023,0.0
P00024,0.0
P00025,0.0
P00026,0.0
P00027,0.0
P00028,0.0
P00029,0.0
P00030,0.0
P00031,0.0
P00032,0.0
P00033,0.0
P00034,0.0
P00035,0.0
P00036,0.0
P00037,0.0
P00038,0.0
P00039,0.0
P00040,0.0
P00041,0.0
P00042,0.0
P00043,0.0
P00044,0.0
P00045,0.0
P00046,0.0
P00047,0.0
P00048,0.0
P00049,0.0
P00050,0.0
P00051,0.0
P00052,0.0
P00053,0.0
P00054,0.0
P00055,0.0
P00056,0.0
P00057,0.0
P00058,0.0
P00059,0.0
P00060,0.0
P00061,0.0
P00062,0.0
P00063,0.0
P00064,0.0
P00065,0.0
P00066,0.0
P00067,0.0
P00068,0.0
P00069,0.0
P00070,0.0
P00071,0.0
P00072,0.0
P00073,0.0
P00074,0.0
P00075,0.0
P00076,0.0
P00077,0.0
P00078,0.0
P00079,0.0
P00080,0.0
P00081,0.0
P00082,0.0
P00083,0.0
P00084,0.0
P00085,0.0
P00086,0.0
P00087,0.0
P00088,0.0
P00089,0.0
P00090,0.0
P00091,0.0
P00092,0.0
P00093,0.0
P00094,0.0
P00095,0.0
P00096,0.0
P00097,0.0
P00098,0.0
P00099,0.0
P00100,0.0
P00101,0.0
P00102,0.0
P00103,0.0
P00104,0.0
P00105,0.0
P00106,0.0
P00107,0.0
P00108,0.0
P00109,0.0
P00110,0.0
P00111,0.0
P00112,0.0
P00113,0.0
P00114,0.0
P00115,0.0
P00116,0.0
P00117,0.0
P00118,0.0
P00119,0.0
P00120,0.0
P00121,0.0
P00122,0.0
P00123,0.0
P00124,0.0
P00125,0.0
P00126,0.0
P00127,0.0
P00128,0.0
P00129,0.0
P00130,0.0
P00131,0.0
P00132,0.0
P00133,0.0
P00134,0.0
P00135,0.0
P00136,0.0
P00137,0.0
P00138,0.0
P00139,0.0
P00140,0.0
P00141,0.0
P00142,0.0
P00143,0.0
P00144,0.0
P00145,0.0
P00146,0.0
P00147,0.0
P00148,0.0
P00149,0.0
P00150,0.0
P00151,0.0
P00152,0.0
P00153,0.0
P00154,0.0
P00155,0.0
P00156,0.0
P00157,0.0
P00158,0.0
P00159,0.0
P00160,0.0
P00161,0.0
P00162,0.0
P00163,0.0
P00164,0.0
P00165,0.0
P00166,0.0
P00167,0.0
P00168,0.0
P00169,0.0
P00170,0.0
P00171,0.0
P00172,0.0
P00173,0.0
P00174,0.0
P00175,0.0
P00176,0.0
P00177,0.0
P00178,0.0
P00179,0.0
P00180,0.0
P00181,0.0
P00182,0.0
P00183,0.0
P00184,0.0
P00185,0.0
P00186,0.0
P00187,0.0
P00188,0.0
P00189,0.0
P00190,0.0
P00191,0.0
P00192,0.0
P00193,0.0
P00194,0.0
P00195,0.0
P00196,0.0
P00197,0.0
P00198,0.0
P00199,0.0
P00200,0.0
P00201,0.0
P00202,0.0
P00203,0.0
P00204,0.0
P00205,0.0
P00206,0.0
P00207,0.0
P00208,0.0
P00209,0.0
P00210,0.0
P00211,0.0
P00212,0.0
P00213,0.0
P00214,0.0
P00215,0.0
P00216,0.0
P00217,0.0
P00218,0.0
P00219,0.0
P00220,0.0
P00221,0.0
P00222,0.0
P00223,0.0
P00224,0.0
P00225,0.0
P00226,0.0
P00227,0.0
P00228,0.0
P00229,0.0
P00230,0.0
P00231,0.0
P00232,0.0
P00233,0.0
P00234,0.0
P00235,0.0
P00236,0.0
P00237,0.0
P00238,0.0
P00239,0.0
P00240,0.0
P00241,0.0
P00242,0.0
P00243,0.0
P00244,0.0
P00245,0.0
P00246,0.0
P00247,0.0
P00248,0.0
P00249,0.0
P00250,0.0
P00251,0.0
P00252,0.0
P00253,0.0
P00254,0.0
P00255,0.0
P00256,0.0
P00257,0.0
P00258,0.0
P00259,0.0
P00260,0.0
P00261,0.0
P00262,0.0
P00263,0.0
P00264,0.0
P00265,0.0
P00266,0.0
P00267,0.0
P00268,0.0
P00269,0.0
P00270,0.0
P00271,0.0
P00272,0.0
P00273,0.0
P00274,0.0
P00275,0.0
P00276,0.0
P00277,0.0
P00278,0.0
P00279,0.0
P00280,0.0
P00281,0.0
P00282,0.0
P00283,0.0
P00284,0.0
P00285,0.0
P00286,0.0
P00287,0.0
P00288,0.0
P00289,0.0
P00290,0.0
P00291,0.0
P00292,0.0
P00293,0.0
P00294,0.0
P00295,0.0
P00296,0.0
P00297,0.0
P00298,0.0
P00299,0.0
P00300,0.0
P00301,0.0
P00302,0.0
P00303,0.0
P00304,0.0
P00305,0.0
P00306,0.0
P00307,0.0
P00308,0.0
P00309,0.0
P00310,0.0
P00311,0.0
P00312,0.0
P00313,0.0
P00314,0.0
P00315,0.0
P00316,0.0
P00317,0.0
P00318,0.0
P00319,0.0
P00320,0.0
P00321,0.0
P00322,0.0
P00323,0.0
P00324,0.0
P00325,0.0
P00326,0.0
P00327,0.0
P00328,0.0
P00329,0.0
P00330,0.0
P00331,0.0
P00332,0.0
P00333,0.0
P00334,0.0
P00335,0.0
P00336,0.0
P00337,0.0
P00338,0.0
P00339,0.0
P00340,0.0
P00341,0.0
P00342,0.0
P00343,0.0
P00344,0.0
P00345,0.0
P00346,0.0
P00347,0.0
P00348,0.0
P00349,0.0
P00350,0.0
P00351,0.0
P00352,0.0
P00353,0.0
P00354,0.0
P00355,0.0
P00356,0.0
P00357,0.0
P00358,0.0
P00359,0.0
P00360,0.0
P00361,0.0
P00362,0.0
P00363,0.0
P00364,0.0
P00365,0.0
P00366,0.0
P00367,0.0
P00368,0.0
P00369,0.0
