partsid,totalcfp,cfp
P00001,0.0,7.098
P00003,0.0,8.95
P00009,0.0,2.683
P00010,0.0,5.55
P00015,0.0,6.346
P00018,0.0,1.668
P00023,0.0,1.179
P00025,0.0,8.072
P00029,0.0,1.535
P00032,0.0,1.465
P00039,0.0,2.765
P00040,0.0,8.146
P00042,0.0,6.466
P00046,0.0,9.65
P00047,0.0,1.228
P00048,0.0,4.414
P00050,0.0,4.007
P00056,0.0,4.316
P00057,0.0,4.328
P00059,0.0,4.722
P00061,0.0,4.188
P00066,0.0,3.09
P00067,0.0,2.966
P00073,0.0,1.101
P00075,0.0,2.222
P00077,0.0,0.712
P00078,0.0,9.001
P00082,0.0,5.696
P00083,0.0,0.506
P00085,0.0,2.652
P00086,0.0,5.015
P00091,0.0,9.931
P00093,0.0,6.3
P00097,0.0,2.694
P00103,0.0,8.581
P00106,0.0,1.321
P00109,0.0,5.992
P00111,0.0,0.081
P00112,0.0,9.794
P00119,0.0,2.133
P00127,0.0,3.576
P00130,0.0,9.366
P00131,0.0,9.877
P00132,0.0,3.4
P00136,0.0,0.384
P00138,0.0,4.567
P00140,0.0,0.389
P00142,0.0,2.333
P00143,0.0,9.452
P00145,0.0,1.59
P00146,0.0,9.168
P00148,0.0,6.803
P00149,0.0,2.341
P00158,0.0,7.66
P00161,0.0,8.258
P00175,0.0,7.26
P00177,0.0,6.783
P00188,0.0,6.166
P00189,0.0,3.118
P00195,0.0,6.776
P00199,0.0,4.795
P00200,0.0,8.625
P00201,0.0,3.391
P00205,0.0,6.271
P00206,0.0,0.395
P00208,0.0,4.979
P00210,0.0,6.559
P00211,0.0,8.665
P00213,0.0,2.813
P00220,0.0,5.242
P00221,0.0,3.047
P00222,0.0,4.208
P00223,0.0,0.011
P00224,0.0,5.808
P00225,0.0,9.933
P00227,0.0,1.746
P00230,0.0,7.73
P00232,0.0,4.219
P00233,0.0,9.088
P00243,0.0,5.529
P00245,0.0,0.774
P00248,0.0,3.661
P00249,0.0,4.528
P00251,0.0,3.969
P00252,0.0,3.038
P00256,0.0,4.524
P00257,0.0,7.291
P00258,0.0,2.554
P00259,0.0,5.712
P00262,0.0,2.896
P00266,0.0,9.38
P00269,0.0,2.201
P00275,0.0,0.207
P00277,0.0,6.814
P00279,0.0,5.362
P00287,0.0,4.008
P00288,0.0,9.466
P00290,0.0,7.993
P00291,0.0,5.227
P00296,0.0,7.463
P00299,0.0,3.649
P00301,0.0,3.311
P00304,0.0,1.818
P00308,0.0,8.504
P00315,0.0,7.199
