partsid,totalcfp,cfp
P00005,0.0,0.325
P00009,0.0,6.09
P00011,0.0,9.467
P00012,0.0,0.638
P00013,0.0,1.122
P00014,0.0,8.121
P00017,0.0,2.898
P00019,0.0,3.413
P00021,0.0,3.566
P00024,0.0,5.824
P00027,0.0,9.591
P00032,0.0,0.682
P00038,0.0,3.562
P00043,0.0,5.137
P00046,0.0,2.464
P00047,0.0,0.97
P00051,0.0,7.136
P00059,0.0,9.728
P00061,0.0,0.208
P00066,0.0,5.084
P00073,0.0,9.708
P00074,0.0,1.529
P00076,0.0,0.683
P00077,0.0,6.413
P00088,0.0,4.059
P00089,0.0,9.955
P00093,0.0,8.875
P00097,0.0,3.484
P00100,0.0,1.601
P00102,0.0,2.69
P00110,0.0,8.689
P00111,0.0,1.017
P00112,0.0,3.252
P00116,0.0,2.069
P00117,0.0,0.805
P00122,0.0,4.017
P00127,0.0,5.022
P00137,0.0,9.275
P00139,0.0,4.654
P00143,0.0,9.44
P00146,0.0,6.519
P00147,0.0,8.128
P00153,0.0,3.064
P00161,0.0,9.894
P00163,0.0,0.617
P00166,0.0,1.057
P00169,0.0,0.339
P00176,0.0,3.841
P00179,0.0,8.334
P00180,0.0,8.487
P00181,0.0,9.489
P00182,0.0,2.118
P00185,0.0,2.664
P00187,0.0,7.256
P00192,0.0,0.525
P00193,0.0,6.675
P00198,0.0,2.966
P00202,0.0,9.439
P00205,0.0,7.564
P00217,0.0,6.152
P00219,0.0,4.738
P00220,0.0,6.782
P00224,0.0,3.344
P00229,0.0,3.481
P00234,0.0,6.616
P00238,0.0,1.21
P00241,0.0,5.387
P00243,0.0,8.403
P00248,0.0,5.826
P00251,0.0,0.869
P00258,0.0,7.439
P00260,0.0,7.605
P00261,0.0,0.548
P00263,0.0,3.374
P00266,0.0,8.36
P00272,0.0,8.245
P00273,0.0,9.14
P00275,0.0,3.031
P00276,0.0,7.551
P00277,0.0,3.744
P00280,0.0,6.652
P00281,0.0,1.572
P00284,0.0,2.554
P00287,0.0,0.297
P00290,0.0,3.053
P00297,0.0,4.417
P00298,0.0,1.389
P00300,0.0,1.995
P00303,0.0,9.68
P00308,0.0,7.35
P00309,0.0,5.331
P00312,0.0,1.778
P00314,0.0,6.908
P00315,0.0,0.347
P00317,0.0,0.382
P00322,0.0,9.438
P00324,0.0,8.415
P00326,0.0,8.57
P00331,0.0,3.961
P00337,0.0,3.732
P00339,0.0,7.846
P00349,0.0,4.177
P00353,0.0,6.413
P00354,0.0,4.679
P00355,0.0,7.807
P00359,0.0,4.917
P00364,0.0,3.126
P00365,0.0,1.854
P00369,0.0,7.704
P00372,0.0,5.232
P00374,0.0,5.905
P00382,0.0,8.293
P00391,0.0,3.975
P00392,0.0,7.945
P00394,0.0,1.516
P00397,0.0,4.985
P00403,0.0,4.963
P00409,0.0,8.996
P00411,0.0,4.007
P00412,0.0,2.709
P00418,0.0,2.13
P00425,0.0,6.145
P00426,0.0,3.756
P00431,0.0,7.011
P00434,0.0,4.541
P00435,0.0,6.16
P00439,0.0,6.136
P00441,0.0,9.615
P00445,0.0,1.454
P00448,0.0,6.954
P00453,0.0,2.907
P00455,0.0,5.582
P00457,0.0,8.294
P00466,0.0,6.175
P00468,0.0,2.343
P00472,0.0,5.315
P00476,0.0,5.411
P00479,0.0,7.026
P00483,0.0,7.252
P00492,0.0,3.037
P00494,0.0,5.021
P00496,0.0,9.411
P00512,0.0,3.843
P00524,0.0,8.082
P00526,0.0,4.445
P00527,0.0,4.982
P00530,0.0,4.487
P00533,0.0,4.804
P00537,0.0,4.379
P00539,0.0,4.423
P00541,0.0,1.841
P00542,0.0,4.684
P00543,0.0,7.04
P00545,0.0,0.332
P00548,0.0,5.743
P00554,0.0,5.137
P00558,0.0,3.303
P00559,0.0,9.569
P00562,0.0,8.837
P00563,0.0,5.933
P00565,0.0,6.238
P00570,0.0,6.256
P00571,0.0,8.027
P00576,0.0,9.775
P00580,0.0,5.556
P00586,0.0,9.524
P00591,0.0,8.189
P00593,0.0,4.807
P00596,0.0,2.246
P00597,0.0,2.116
P00599,0.0,4.497
P00601,0.0,4.894
P00610,0.0,9.711
P00611,0.0,7.021
P00616,0.0,8.134
P00620,0.0,6.042
P00623,0.0,5.241
P00624,0.0,4.911
P00627,0.0,1.033
P00632,0.0,0.494
P00635,0.0,3.83
P00636,0.0,1.894
P00637,0.0,9.566
P00640,0.0,7.815
P00644,0.0,0.857
P00650,0.0,3.221
P00652,0.0,2.819
P00653,0.0,1.601
P00656,0.0,6.993
P00658,0.0,1.522
P00663,0.0,5.024
P00665,0.0,2.364
P00667,0.0,7.812
P00669,0.0,5.148
P00670,0.0,8.737
P00674,0.0,0.565
P00675,0.0,1.019
P00677,0.0,1.653
P00679,0.0,5.801
P00684,0.0,5.174
P00687,0.0,2.186
P00688,0.0,1.81
P00690,0.0,5.809
P00696,0.0,7.316
P00698,0.0,6.703
P00700,0.0,3.601
P00701,0.0,2.179
P00704,0.0,5.464
P00705,0.0,7.042
P00708,0.0,6.424
P00709,0.0,3.783
P00710,0.0,7.864
P00712,0.0,0.267
P00718,0.0,1.29
P00719,0.0,5.248
P00721,0.0,8.543
P00722,0.0,3.814
P00727,0.0,1.634
P00729,0.0,4.304
P00740,0.0,2.172
P00747,0.0,1.796
P00752,0.0,7.695
P00753,0.0,3.488
P00754,0.0,1.242
P00763,0.0,8.457
P00764,0.0,0.518
P00766,0.0,2.953
P00767,0.0,2.176
P00771,0.0,0.189
P00773,0.0,4.549
P00779,0.0,0.898
P00790,0.0,4.641
P00792,0.0,1.906
P00799,0.0,6.739
P00801,0.0,9.797
P00802,0.0,6.471
P00808,0.0,2.48
P00811,0.0,8.695
P00815,0.0,7.953
P00816,0.0,4.49
P00819,0.0,4.485
P00822,0.0,2.195
P00832,0.0,4.961
P00836,0.0,5.79
P00838,0.0,4.959
P00844,0.0,8.866
P00846,0.0,7.894
P00847,0.0,4.779
P00848,0.0,7.291
P00851,0.0,0.567
P00852,0.0,9.65
P00853,0.0,3.147
P00856,0.0,1.7
P00857,0.0,9.563
P00858,0.0,6.718
P00860,0.0,1.161
P00865,0.0,3.138
P00866,0.0,0.759
P00867,0.0,9.46
P00872,0.0,7.303
P00873,0.0,0.301
P00874,0.0,6.366
P00878,0.0,9.458
P00880,0.0,2.032
P00885,0.0,1.928
P00886,0.0,6.71
P00887,0.0,3.184
P00898,0.0,5.371
P00901,0.0,2.131
P00907,0.0,8.702
P00909,0.0,1.226
P00910,0.0,7.066
P00912,0.0,7.782
P00913,0.0,5.961
P00914,0.0,2.936
P00915,0.0,7.694
P00917,0.0,8.229
P00920,0.0,9.047
P00921,0.0,5.526
P00923,0.0,8.414
P00927,0.0,8.754
P00928,0.0,6.402
P00931,0.0,9.057
P00933,0.0,4.414
P00943,0.0,6.772
P00949,0.0,4.842
P00952,0.0,3.794
P00956,0.0,5.672
P00958,0.0,4.995
P00962,0.0,0.308
P00967,0.0,6.491
P00968,0.0,6.24
P00972,0.0,3.083
P00977,0.0,2.808
P00980,0.0,8.63
P00982,0.0,0.14
P00988,0.0,4.486
P00997,0.0,2.772
P01001,0.0,3.262
P01002,0.0,2.755
P01003,0.0,3.627
P01004,0.0,4.408
P01005,0.0,5.745
P01008,0.0,8.604
P01010,0.0,2.284
P01011,0.0,8.53
P01013,0.0,1.751
P01016,0.0,9.556
P01019,0.0,6.859
P01021,0.0,3.707
P01022,0.0,1.308
P01032,0.0,6.348
P01036,0.0,2.17
P01037,0.0,1.022
P01039,0.0,9.838
P01040,0.0,0.129
P01044,0.0,4.209
P01045,0.0,7.165
P01046,0.0,8.952
P01048,0.0,9.303
P01053,0.0,9.712
P01054,0.0,4.132
P01057,0.0,5.415
P01060,0.0,9.791
P01063,0.0,5.179
P01070,0.0,8.318
P01071,0.0,7.993
P01073,0.0,6.208
P01087,0.0,1.894
P01092,0.0,1.691
P01096,0.0,4.812
P01097,0.0,4.24
P01102,0.0,4.139
P01104,0.0,0.876
P01105,0.0,7.437
P01107,0.0,0.292
P01111,0.0,8.649
P01113,0.0,9.464
P01115,0.0,8.508
P01117,0.0,2.824
P01118,0.0,6.763
P01119,0.0,8.867
P01124,0.0,7.94
P01127,0.0,0.708
P01128,0.0,1.081
P01130,0.0,7.448
P01133,0.0,7.885
P01134,0.0,4.272
P01140,0.0,3.613
P01141,0.0,1.437
P01143,0.0,8.632
P01146,0.0,4.081
P01149,0.0,7.527
P01152,0.0,8.7
P01156,0.0,7.307
P01163,0.0,3.108
P01164,0.0,6.195
P01166,0.0,6.667
P01167,0.0,4.367
P01169,0.0,0.477
P01170,0.0,3.679
P01172,0.0,0.46
P01174,0.0,1.159
P01178,0.0,6.623
P01180,0.0,3.653
P01184,0.0,7.723
P01185,0.0,4.566
P01188,0.0,5.644
P01191,0.0,1.685
P01195,0.0,6.156
P01196,0.0,5.331
P01199,0.0,3.362
P01208,0.0,4.428
P01212,0.0,9.191
P01214,0.0,2.412
P01220,0.0,1.084
P01223,0.0,0.307
P01225,0.0,6.654
P01227,0.0,7.145
P01236,0.0,1.805
P01239,0.0,0.053
P01240,0.0,2.17
P01241,0.0,5.257
P01247,0.0,2.124
P01248,0.0,0.61
P01250,0.0,6.665
P01252,0.0,0.382
P01256,0.0,0.536
P01259,0.0,7.287
P01263,0.0,1.059
P01267,0.0,2.522
P01270,0.0,1.146
P01273,0.0,0.542
P01274,0.0,8.275
P01275,0.0,9.662
P01277,0.0,7.752
P01280,0.0,6.236
P01281,0.0,0.821
P01286,0.0,6.34
P01287,0.0,2.61
P01289,0.0,4.052
P01297,0.0,4.491
