partsid,totalcfp,cfp
P00002,0.0,6.31
P00006,0.0,6.216
P00008,0.0,7.183
P00010,0.0,2.757
P00018,0.0,7.297
P00022,0.0,6.852
P00029,0.0,3.65
P00030,0.0,3.97
P00033,0.0,1.425
P00034,0.0,0.24
P00035,0.0,3.398
P00036,0.0,4.483
P00040,0.0,7.077
P00041,0.0,3.309
P00044,0.0,0.588
P00048,0.0,9.781
P00049,0.0,1.688
P00052,0.0,3.945
P00053,0.0,8.059
P00062,0.0,7.739
P00064,0.0,7.904
P00067,0.0,9.838
P00068,0.0,0.515
P00072,0.0,6.565
P00075,0.0,5.976
P00080,0.0,0.801
P00083,0.0,3.175
P00096,0.0,6.156
P00098,0.0,3.056
P00101,0.0,3.69
P00104,0.0,7.034
P00105,0.0,2.522
P00107,0.0,0.32
P00108,0.0,9.288
P00113,0.0,1.236
P00115,0.0,3.85
P00119,0.0,9.696
P00124,0.0,7.282
P00126,0.0,1.109
P00129,0.0,1.063
P00131,0.0,3.164
P00134,0.0,0.134
P00135,0.0,2.0
P00138,0.0,1.891
P00141,0.0,9.635
P00145,0.0,1.308
P00150,0.0,8.453
P00155,0.0,7.399
P00157,0.0,5.897
P00162,0.0,6.94
P00167,0.0,2.608
P00168,0.0,3.931
P00172,0.0,2.701
P00173,0.0,1.436
P00174,0.0,0.323
P00175,0.0,5.121
P00177,0.0,8.77
P00178,0.0,5.083
P00183,0.0,7.48
P00184,0.0,7.307
P00188,0.0,9.591
P00189,0.0,1.621
P00191,0.0,2.141
P00194,0.0,1.843
P00195,0.0,2.212
P00199,0.0,7.139
P00200,0.0,4.177
P00207,0.0,6.279
P00209,0.0,5.266
P00212,0.0,4.39
P00213,0.0,0.834
P00215,0.0,4.034
P00216,0.0,6.074
P00218,0.0,8.42
P00222,0.0,7.23
P00226,0.0,8.114
P00227,0.0,7.473
P00228,0.0,2.908
P00232,0.0,2.41
P00239,0.0,7.374
P00242,0.0,8.257
P00244,0.0,5.768
P00245,0.0,1.388
P00250,0.0,3.038
P00255,0.0,3.201
P00256,0.0,1.836
P00259,0.0,7.585
P00265,0.0,2.447
P00267,0.0,3.725
P00270,0.0,0.645
P00271,0.0,8.437
P00278,0.0,8.998
P00285,0.0,4.669
P00288,0.0,2.637
P00291,0.0,9.325
P00292,0.0,9.466
P00294,0.0,5.009
P00299,0.0,6.311
P00302,0.0,0.024
P00304,0.0,1.692
P00307,0.0,2.853
P00311,0.0,7.458
P00313,0.0,3.131
P00316,0.0,4.131
P00318,0.0,4.488
P00321,0.0,8.527
P00323,0.0,7.825
P00325,0.0,8.487
P00332,0.0,5.15
P00333,0.0,9.359
P00335,0.0,9.457
P00338,0.0,1.353
P00342,0.0,5.314
P00345,0.0,5.776
P00348,0.0,2.793
P00350,0.0,6.841
P00351,0.0,4.492
P00352,0.0,0.842
P00356,0.0,7.236
P00360,0.0,3.672
P00362,0.0,7.264
P00363,0.0,7.128
P00366,0.0,8.241
P00367,0.0,9.706
P00368,0.0,4.593
P00375,0.0,3.641
P00376,0.0,1.833
P00377,0.0,8.993
P00379,0.0,1.197
P00380,0.0,9.904
P00385,0.0,4.329
P00388,0.0,1.655
P00389,0.0,0.465
P00393,0.0,6.637
P00400,0.0,8.491
P00401,0.0,9.516
P00404,0.0,7.477
P00405,0.0,2.838
P00408,0.0,1.382
P00415,0.0,1.585
P00416,0.0,0.982
P00417,0.0,4.143
P00420,0.0,1.331
P00421,0.0,1.4
P00429,0.0,2.225
P00430,0.0,7.633
P00433,0.0,2.82
P00436,0.0,7.897
P00442,0.0,2.615
P00443,0.0,0.518
P00446,0.0,0.692
P00447,0.0,9.329
P00449,0.0,7.899
P00450,0.0,0.203
P00454,0.0,8.893
P00459,0.0,7.276
P00464,0.0,5.531
P00467,0.0,6.381
P00469,0.0,4.006
P00474,0.0,1.66
P00478,0.0,9.165
P00482,0.0,6.229
P00484,0.0,7.496
P00486,0.0,6.127
P00489,0.0,5.924
P00490,0.0,9.016
P00491,0.0,8.505
P00497,0.0,2.824
P00498,0.0,1.939
P00499,0.0,4.601
P00500,0.0,0.21
P00502,0.0,1.646
P00505,0.0,7.676
P00506,0.0,7.747
P00508,0.0,3.157
P00509,0.0,9.807
P00510,0.0,0.417
P00511,0.0,8.42
P00513,0.0,6.148
P00515,0.0,1.954
P00517,0.0,2.44
P00518,0.0,6.555
P00519,0.0,3.787
P00520,0.0,7.128
P00522,0.0,6.461
P00523,0.0,4.693
P00525,0.0,5.832
P00531,0.0,7.79
P00544,0.0,1.8
P00546,0.0,6.451
P00549,0.0,4.854
P00552,0.0,4.862
P00555,0.0,1.611
P00557,0.0,6.452
P00567,0.0,9.871
P00568,0.0,4.658
P00569,0.0,9.361
P00572,0.0,6.136
P00573,0.0,1.0
P00577,0.0,8.558
P00578,0.0,1.213
P00581,0.0,8.319
P00583,0.0,9.585
P00584,0.0,2.04
P00589,0.0,9.898
P00590,0.0,6.951
P00592,0.0,1.851
P00595,0.0,7.352
P00598,0.0,0.085
P00604,0.0,4.123
P00606,0.0,3.386
P00607,0.0,1.995
P00608,0.0,6.69
P00612,0.0,3.113
P00613,0.0,6.633
P00619,0.0,6.021
P00621,0.0,5.876
P00622,0.0,1.62
P00625,0.0,1.115
P00629,0.0,2.169
P00634,0.0,0.689
P00642,0.0,1.56
P00643,0.0,2.823
P00646,0.0,7.829
P00648,0.0,3.842
P00649,0.0,8.233
P00654,0.0,8.538
P00657,0.0,6.071
P00661,0.0,9.282
P00662,0.0,0.065
P00672,0.0,3.852
P00683,0.0,8.021
P00686,0.0,0.719
P00689,0.0,1.234
P00692,0.0,4.251
P00693,0.0,0.305
P00703,0.0,7.89
P00706,0.0,8.743
P00707,0.0,3.544
P00711,0.0,9.068
P00715,0.0,4.549
P00716,0.0,2.707
P00723,0.0,3.482
P00724,0.0,4.717
P00725,0.0,7.817
P00732,0.0,1.031
P00733,0.0,4.867
P00736,0.0,7.856
P00737,0.0,0.647
P00738,0.0,1.478
P00741,0.0,0.073
P00742,0.0,2.815
P00745,0.0,7.464
P00746,0.0,9.423
P00748,0.0,5.506
P00749,0.0,4.694
P00755,0.0,2.288
P00756,0.0,0.806
P00758,0.0,1.569
P00759,0.0,8.383
P00762,0.0,8.988
P00765,0.0,8.552
P00768,0.0,2.112
P00769,0.0,6.376
P00772,0.0,5.476
P00776,0.0,4.983
P00777,0.0,7.223
P00781,0.0,8.383
P00783,0.0,9.31
P00784,0.0,7.62
P00787,0.0,5.331
P00791,0.0,4.201
P00793,0.0,6.391
P00795,0.0,0.695
P00796,0.0,1.581
P00803,0.0,2.197
P00804,0.0,6.287
P00806,0.0,1.826
P00809,0.0,1.159
P00812,0.0,4.836
P00817,0.0,1.917
P00820,0.0,7.711
P00824,0.0,2.836
P00829,0.0,5.981
P00830,0.0,2.891
P00831,0.0,5.694
P00835,0.0,6.498
P00840,0.0,7.07
P00841,0.0,6.892
P00843,0.0,4.009
P00849,0.0,2.438
P00861,0.0,1.749
P00864,0.0,7.161
P00869,0.0,3.739
P00870,0.0,6.529
P00871,0.0,0.523
P00877,0.0,3.201
P00881,0.0,4.593
P00888,0.0,8.324
P00892,0.0,0.612
P00902,0.0,7.938
P00905,0.0,7.908
P00906,0.0,0.87
P00908,0.0,0.952
P00911,0.0,6.725
P00919,0.0,2.531
P00922,0.0,0.762
P00929,0.0,0.538
P00930,0.0,0.503
P00935,0.0,5.069
P00936,0.0,3.475
P00937,0.0,7.534
P00939,0.0,5.555
P00940,0.0,8.729
P00946,0.0,9.128
P00947,0.0,9.203
P00948,0.0,2.168
P00953,0.0,5.737
P00954,0.0,5.546
P00957,0.0,0.234
P00959,0.0,7.939
P00961,0.0,7.065
P00964,0.0,9.38
P00966,0.0,4.431
P00969,0.0,4.909
P00971,0.0,3.77
P00973,0.0,3.931
P00974,0.0,1.004
P00975,0.0,9.085
P00979,0.0,0.464
P00981,0.0,7.012
P00983,0.0,8.963
P00984,0.0,8.469
P00986,0.0,0.874
P00994,0.0,6.976
P00995,0.0,6.176
P00996,0.0,5.476
P00998,0.0,5.825
P00999,0.0,7.647
P01000,0.0,5.478
P01006,0.0,2.752
P01007,0.0,6.123
P01014,0.0,2.905
P01015,0.0,9.04
P01017,0.0,0.871
P01018,0.0,3.839
P01023,0.0,6.926
P01027,0.0,3.834
P01029,0.0,9.269
P01033,0.0,3.625
P01035,0.0,0.681
P01038,0.0,1.963
