partsid,datalink,parents_partsid
P00001,postgresA,NULL
P00002,postgresC,P00001
P00003,postgresA,P00001
P00004,postgresA,P00001
P00005,postgresB,P00002
P00006,postgresC,P00002
P00007,postgresA,P00002
P00008,postgresC,P00003
P00009,postgresB,P00003
P00010,postgresC,P00003
P00011,postgresB,P00004
P00012,postgresB,P00004
P00013,postgresB,P00004
P00014,postgresB,P00005
P00015,postgresA,P00005
P00016,postgresA,P00005
P00017,postgresB,P00006
P00018,postgresC,P00006
P00019,postgresB,P00006
P00020,postgresA,P00007
P00021,postgresB,P00007
P00022,postgresC,P00007
P00023,postgresA,P00008
P00024,postgresB,P00008
P00025,postgresA,P00008
P00026,postgresA,P00009
P00027,postgresB,P00009
P00028,postgresA,P00009
P00029,postgresC,P00010
P00030,postgresC,P00010
P00031,postgresA,P00010
P00032,postgresB,P00011
P00033,postgresC,P00011
P00034,postgresC,P00011
P00035,postgresC,P00012
P00036,postgresC,P00012
P00037,postgresA,P00012
P00038,postgresB,P00013
P00039,postgresA,P00013
P00040,postgresC,P00013
P00041,postgresC,P00014
P00042,postgresA,P00014
P00043,postgresB,P00014
P00044,postgresC,P00015
P00045,postgresA,P00015
P00046,postgresB,P00015
P00047,postgresB,P00016
P00048,postgresC,P00016
P00049,postgresC,P00016
P00050,postgresA,P00017
P00051,postgresB,P00017
P00052,postgresC,P00017
P00053,postgresC,P00018
P00054,postgresA,P00018
P00055,postgresA,P00018
P00056,postgresA,P00019
P00057,postgresA,P00019
P00058,postgresA,P00019
P00059,postgresB,P00020
P00060,postgresA,P00020
P00061,postgresB,P00020
P00062,postgresC,P00021
P00063,postgresA,P00021
P00064,postgresC,P00021
P00065,postgresA,P00022
P00066,postgresB,P00022
P00067,postgresC,P00022
P00068,postgresC,P00023
P00069,postgresA,P00023
P00070,postgresA,P00023
P00071,postgresA,P00024
P00072,postgresC,P00024
P00073,postgresB,P00024
P00074,postgresB,P00025
P00075,postgresC,P00025
P00076,postgresB,P00025
P00077,postgresB,P00026
P00078,postgresA,P00026
P00079,postgresA,P00026
P00080,postgresC,P00027
P00081,postgresA,P00027
P00082,postgresA,P00027
P00083,postgresC,P00028
P00084,postgresA,P00028
P00085,postgresA,P00028
P00086,postgresA,P00029
P00087,postgresA,P00029
P00088,postgresB,P00029
P00089,postgresB,P00030
P00090,postgresA,P00030
P00091,postgresA,P00030
P00092,postgresA,P00031
P00093,postgresB,P00031
P00094,postgresA,P00031
P00095,postgresA,P00032
P00096,postgresC,P00032
P00097,postgresB,P00032
P00098,postgresC,P00033
P00099,postgresA,P00033
P00100,postgresB,P00033
P00101,postgresC,P00034
P00102,postgresB,P00034
P00103,postgresA,P00034
P00104,postgresC,P00035
P00105,postgresC,P00035
P00106,postgresA,P00035
P00107,postgresC,P00036
P00108,postgresC,P00036
P00109,postgresA,P00036
P00110,postgresB,P00037
P00111,postgresB,P00037
P00112,postgresB,P00037
P00113,postgresC,P00038
P00114,postgresA,P00038
P00115,postgresC,P00038
P00116,postgresB,P00039
P00117,postgresB,P00039
P00118,postgresA,P00039
P00119,postgresC,P00040
P00120,postgresA,P00040
P00121,postgresA,P00040
P00122,postgresB,P00041
P00123,postgresA,P00041
P00124,postgresC,P00041
P00125,postgresA,P00042
P00126,postgresC,P00042
P00127,postgresB,P00042
P00128,postgresA,P00043
P00129,postgresC,P00043
P00130,postgresA,P00043
P00131,postgresC,P00044
P00132,postgresA,P00044
P00133,postgresA,P00044
P00134,postgresC,P00045
P00135,postgresC,P00045
P00136,postgresA,P00045
P00137,postgresB,P00046
P00138,postgresC,P00046
P00139,postgresB,P00046
P00140,postgresA,P00047
P00141,postgresC,P00047
P00142,postgresA,P00047
P00143,postgresB,P00048
P00144,postgresA,P00048
P00145,postgresC,P00048
P00146,postgresB,P00049
P00147,postgresB,P00049
P00148,postgresA,P00049
P00149,postgresA,P00050
P00150,postgresC,P00050
P00151,postgresA,P00050
P00152,postgresA,P00051
P00153,postgresB,P00051
P00154,postgresA,P00051
P00155,postgresC,P00052
P00156,postgresA,P00052
P00157,postgresC,P00052
P00158,postgresA,P00053
P00159,postgresA,P00053
P00160,postgresA,P00053
P00161,postgresB,P00054
P00162,postgresC,P00054
P00163,postgresB,P00054
P00164,postgresA,P00055
P00165,postgresA,P00055
P00166,postgresB,P00055
P00167,postgresC,P00056
P00168,postgresC,P00056
P00169,postgresB,P00056
P00170,postgresA,P00057
P00171,postgresA,P00057
P00172,postgresC,P00057
P00173,postgresC,P00058
P00174,postgresC,P00058
P00175,postgresC,P00058
P00176,postgresB,P00059
P00177,postgresC,P00059
P00178,postgresC,P00059
P00179,postgresB,P00060
