partsid,datalink,cfp,parents_partsid,totalcfp
P00001,postgresA,5.428,NULL,0.0
P00002,postgresC,6.31,P00001,0.0
P00003,postgresA,7.771,P00001,0.0
P00004,postgresA,3.275,P00001,0.0
P00005,postgresB,0.325,P00002,0.0
P00006,postgresC,6.216,P00002,0.0
P00007,postgresA,0.967,P00002,0.0
P00008,postgresC,7.183,P00003,0.0
P00009,postgresB,6.09,P00003,0.0
P00010,postgresC,2.757,P00003,0.0
P00011,postgresB,9.467,P00004,0.0
P00012,postgresB,0.638,P00004,0.0
P00013,postgresB,1.122,P00004,0.0
P00014,postgresB,8.121,P00005,0.0
P00015,postgresA,1.995,P00005,0.0
P00016,postgresA,9.754,P00005,0.0
P00017,postgresB,2.898,P00006,0.0
P00018,postgresC,7.297,P00006,0.0
P00019,postgresB,3.413,P00006,0.0
P00020,postgresA,0.49,P00007,0.0
P00021,postgresB,3.566,P00007,0.0
P00022,postgresC,6.852,P00007,0.0
P00023,postgresA,8.742,P00008,0.0
P00024,postgresB,5.824,P00008,0.0
P00025,postgresA,5.44,P00008,0.0
P00026,postgresA,6.902,P00009,0.0
P00027,postgresB,9.591,P00009,0.0
P00028,postgresA,5.295,P00009,0.0
P00029,postgresC,3.65,P00010,0.0
P00030,postgresC,3.97,P00010,0.0
P00031,postgresA,7.919,P00010,0.0
P00032,postgresB,0.682,P00011,0.0
P00033,postgresC,1.425,P00011,0.0
P00034,postgresC,0.24,P00011,0.0
P00035,postgresC,3.398,P00012,0.0
P00036,postgresC,4.483,P00012,0.0
P00037,postgresA,9.163,P00012,0.0
P00038,postgresB,3.562,P00013,0.0
P00039,postgresA,7.769,P00013,0.0
P00040,postgresC,7.077,P00013,0.0
P00041,postgresC,3.309,P00014,0.0
P00042,postgresA,8.081,P00014,0.0
P00043,postgresB,5.137,P00014,0.0
P00044,postgresC,0.588,P00015,0.0
P00045,postgresA,2.938,P00015,0.0
P00046,postgresB,2.464,P00015,0.0
P00047,postgresB,0.97,P00016,0.0
P00048,postgresC,9.781,P00016,0.0
P00049,postgresC,1.688,P00016,0.0
P00050,postgresA,4.003,P00017,0.0
P00051,postgresB,7.136,P00017,0.0
P00052,postgresC,3.945,P00017,0.0
P00053,postgresC,8.059,P00018,0.0
P00054,postgresA,1.489,P00018,0.0
P00055,postgresA,0.091,P00018,0.0
P00056,postgresA,4.612,P00019,0.0
P00057,postgresA,0.771,P00019,0.0
P00058,postgresA,3.217,P00019,0.0
P00059,postgresB,9.728,P00020,0.0
P00060,postgresA,5.053,P00020,0.0
P00061,postgresB,0.208,P00020,0.0
P00062,postgresC,7.739,P00021,0.0
P00063,postgresA,8.349,P00021,0.0
P00064,postgresC,7.904,P00021,0.0
P00065,postgresA,9.369,P00022,0.0
P00066,postgresB,5.084,P00022,0.0
P00067,postgresC,9.838,P00022,0.0
P00068,postgresC,0.515,P00023,0.0
P00069,postgresA,3.299,P00023,0.0
P00070,postgresA,1.146,P00023,0.0
P00071,postgresA,3.165,P00024,0.0
P00072,postgresC,6.565,P00024,0.0
P00073,postgresB,9.708,P00024,0.0
P00074,postgresB,1.529,P00025,0.0
P00075,postgresC,5.976,P00025,0.0
P00076,postgresB,0.683,P00025,0.0
P00077,postgresB,6.413,P00026,0.0
P00078,postgresA,1.169,P00026,0.0
P00079,postgresA,4.044,P00026,0.0
P00080,postgresC,0.801,P00027,0.0
P00081,postgresA,0.606,P00027,0.0
P00082,postgresA,5.359,P00027,0.0
P00083,postgresC,3.175,P00028,0.0
P00084,postgresA,8.879,P00028,0.0
P00085,postgresA,9.552,P00028,0.0
P00086,postgresA,5.106,P00029,0.0
P00087,postgresA,2.054,P00029,0.0
P00088,postgresB,4.059,P00029,0.0
P00089,postgresB,9.955,P00030,0.0
P00090,postgresA,6.463,P00030,0.0
P00091,postgresA,8.829,P00030,0.0
P00092,postgresA,0.22,P00031,0.0
P00093,postgresB,8.875,P00031,0.0
P00094,postgresA,8.05,P00031,0.0
P00095,postgresA,4.549,P00032,0.0
P00096,postgresC,6.156,P00032,0.0
P00097,postgresB,3.484,P00032,0.0
P00098,postgresC,3.056,P00033,0.0
P00099,postgresA,1.755,P00033,0.0
P00100,postgresB,1.601,P00033,0.0
P00101,postgresC,3.69,P00034,0.0
P00102,postgresB,2.69,P00034,0.0
P00103,postgresA,0.7,P00034,0.0
P00104,postgresC,7.034,P00035,0.0
P00105,postgresC,2.522,P00035,0.0
P00106,postgresA,3.315,P00035,0.0
P00107,postgresC,0.32,P00036,0.0
P00108,postgresC,9.288,P00036,0.0
P00109,postgresA,0.589,P00036,0.0
P00110,postgresB,8.689,P00037,0.0
P00111,postgresB,1.017,P00037,0.0
P00112,postgresB,3.252,P00037,0.0
P00113,postgresC,1.236,P00038,0.0
P00114,postgresA,1.773,P00038,0.0
P00115,postgresC,3.85,P00038,0.0
P00116,postgresB,2.069,P00039,0.0
P00117,postgresB,0.805,P00039,0.0
P00118,postgresA,9.111,P00039,0.0
P00119,postgresC,9.696,P00040,0.0
P00120,postgresA,3.725,P00040,0.0
P00121,postgresA,3.918,P00040,0.0
P00122,postgresB,4.017,P00041,0.0
