partsid,datalink,cfp,parents_partsid,totalcfp
P00001,postgresA,7.098,NULL,0.0
P00002,postgresC,7.181,P00001,0.0
P00003,postgresA,8.95,P00001,0.0
P00004,postgresB,7.477,P00001,0.0
P00005,postgresB,3.947,P00002,0.0
P00006,postgresC,4.453,P00002,0.0
P00007,postgresB,7.194,P00002,0.0
P00008,postgresC,2.447,P00003,0.0
P00009,postgresA,2.683,P00003,0.0
P00010,postgresA,5.55,P00003,0.0
P00011,postgresC,7.403,P00004,0.0
P00012,postgresB,3.834,P00004,0.0
P00013,postgresB,4.051,P00004,0.0
P00014,postgresC,3.091,P00005,0.0
P00015,postgresA,6.346,P00005,0.0
P00016,postgresB,2.656,P00005,0.0
P00017,postgresC,9.249,P00006,0.0
P00018,postgresA,1.668,P00006,0.0
P00019,postgresB,4.013,P00006,0.0
P00020,postgresC,0.167,P00007,0.0
P00021,postgresC,3.509,P00007,0.0
P00022,postgresB,7.368,P00007,0.0
P00023,postgresA,1.179,P00008,0.0
P00024,postgresC,7.628,P00008,0.0
P00025,postgresA,8.072,P00008,0.0
P00026,postgresC,1.621,P00009,0.0
P00027,postgresB,1.507,P00009,0.0
P00028,postgresB,0.1,P00009,0.0
P00029,postgresA,1.535,P00010,0.0
P00030,postgresC,6.476,P00010,0.0
P00031,postgresB,4.087,P00010,0.0
P00032,postgresA,1.465,P00011,0.0
P00033,postgresC,5.037,P00011,0.0
P00034,postgresB,1.527,P00011,0.0
P00035,postgresC,2.218,P00012,0.0
P00036,postgresC,5.018,P00012,0.0
P00037,postgresB,4.076,P00012,0.0
P00038,postgresC,4.348,P00013,0.0
P00039,postgresA,2.765,P00013,0.0
P00040,postgresA,8.146,P00013,0.0
P00041,postgresC,2.268,P00014,0.0
P00042,postgresA,6.466,P00014,0.0
P00043,postgresC,4.915,P00014,0.0
P00044,postgresB,2.659,P00015,0.0
P00045,postgresC,8.3,P00015,0.0
P00046,postgresA,9.65,P00015,0.0
P00047,postgresA,1.228,P00016,0.0
P00048,postgresA,4.414,P00016,0.0
P00049,postgresC,6.692,P00016,0.0
P00050,postgresA,4.007,P00017,0.0
P00051,postgresB,2.177,P00017,0.0
P00052,postgresB,3.531,P00017,0.0
P00053,postgresC,5.783,P00018,0.0
P00054,postgresB,8.881,P00018,0.0
P00055,postgresB,0.597,P00018,0.0
P00056,postgresA,4.316,P00019,0.0
P00057,postgresA,4.328,P00019,0.0
P00058,postgresC,7.49,P00019,0.0
P00059,postgresA,4.722,P00020,0.0
P00060,postgresB,1.935,P00020,0.0
P00061,postgresA,4.188,P00020,0.0
P00062,postgresB,7.854,P00021,0.0
P00063,postgresB,8.959,P00021,0.0
P00064,postgresB,6.739,P00021,0.0
P00065,postgresC,0.254,P00022,0.0
P00066,postgresA,3.09,P00022,0.0
P00067,postgresA,2.966,P00022,0.0
P00068,postgresC,3.156,P00023,0.0
P00069,postgresB,2.251,P00023,0.0
P00070,postgresC,4.144,P00023,0.0
P00071,postgresB,6.574,P00024,0.0
P00072,postgresB,5.061,P00024,0.0
P00073,postgresA,1.101,P00024,0.0
P00074,postgresB,2.404,P00025,0.0
P00075,postgresA,2.222,P00025,0.0
P00076,postgresC,1.395,P00025,0.0
P00077,postgresA,0.712,P00026,0.0
P00078,postgresA,9.001,P00026,0.0
P00079,postgresB,6.141,P00026,0.0
P00080,postgresB,1.848,P00027,0.0
P00081,postgresB,8.979,P00027,0.0
P00082,postgresA,5.696,P00027,0.0
P00083,postgresA,0.506,P00028,0.0
P00084,postgresB,9.778,P00028,0.0
P00085,postgresA,2.652,P00028,0.0
P00086,postgresA,5.015,P00029,0.0
P00087,postgresC,0.999,P00029,0.0
P00088,postgresB,6.499,P00029,0.0
P00089,postgresC,0.807,P00030,0.0
P00090,postgresC,0.035,P00030,0.0
P00091,postgresA,9.931,P00030,0.0
P00092,postgresB,9.691,P00031,0.0
P00093,postgresA,6.3,P00031,0.0
P00094,postgresB,4.657,P00031,0.0
P00095,postgresC,0.229,P00032,0.0
