partsid,totalcfp,cfp
P00003,48369.750,7.771
P00004,49455.821,3.275
P00007,16250.807,0.967
P00015,5449.289,1.995
P00020,5359.891,0.49
P00023,5310.756,8.742
P00025,5428.675,5.44
P00026,5383.628,6.902
P00028,5181.471,5.295
P00031,5540.784,7.919
P00037,5535.535,9.163
P00039,5648.443,7.769
P00042,1733.494,8.081
P00045,1751.774,2.938
P00054,1734.141,1.489
P00055,1879.816,0.091
P00056,1786.702,4.612
P00057,1801.318,0.771
P00058,1732.844,3.217
P00060,1710.905,5.053
P00063,1841.852,8.349
P00065,1850.795,9.369
P00070,1755.384,1.146
P00071,1907.948,3.165
P00078,1866.029,1.169
P00079,1834.922,4.044
P00081,1767.457,0.606
P00082,1664.859,5.359
P00084,1766.779,8.879
P00085,1715.496,9.552
P00086,1767.831,5.106
P00087,1741.033,2.054
P00091,1785.825,8.829
P00092,1827.027,0.22
P00094,1862.918,8.05
P00095,1766.691,4.549
P00099,1933.168,1.755
P00103,1792.748,0.7
P00106,1805.374,3.315
P00109,1847.784,0.589
P00118,1940.659,9.111
P00120,1828.783,3.725
P00121,1778.525,3.918
P00123,1809.475,0.124
P00125,548.127,2.892
P00128,595.796,9.274
P00130,575.372,6.666
P00132,614.508,2.469
P00136,576.692,0.497
P00140,553.174,4.694
P00142,603.183,3.392
P00144,558.325,2.712
P00148,616.189,0.746
P00149,640.200,5.242
P00151,592.491,3.149
P00152,632.860,1.451
P00156,599.139,8.759
P00158,582.748,9.06
P00159,649.395,5.925
P00160,606.798,0.225
P00164,605.966,0.976
P00165,653.824,2.187
P00170,632.030,4.561
P00171,563.945,3.121
P00190,623.310,4.998
P00196,609.208,1.112
P00197,609.970,2.721
P00201,615.966,9.745
P00203,567.243,9.445
P00204,601.153,2.786
P00206,594.008,7.407
P00208,592.526,9.184
P00210,536.263,1.339
P00211,634.591,1.981
P00214,626.717,7.419
P00221,593.017,7.028
P00225,582.594,0.84
P00230,521.456,3.601
P00231,564.212,8.997
P00233,590.270,8.203
P00235,672.680,9.975
P00236,594.446,6.707
P00237,604.964,7.227
P00240,611.885,9.277
P00246,525.513,1.311
P00247,514.467,2.206
P00252,566.848,8.197
P00253,604.884,7.376
P00254,575.299,5.876
P00257,573.471,5.867
P00262,593.763,8.101
P00264,547.809,6.892
P00268,599.588,4.333
P00269,560.319,0.483
P00274,631.064,6.3
P00279,549.058,4.309
P00283,619.047,5.696
P00286,613.733,1.576
P00289,632.217,1.607
P00293,589.634,1.955
P00295,607.909,3.475
P00296,638.281,3.298
P00301,623.459,7.983
P00305,598.358,3.346
P00306,619.441,7.688
P00310,586.287,0.211
P00320,599.667,7.309
P00327,633.197,6.663
P00328,624.227,8.843
P00329,549.126,4.399
P00330,646.959,5.724
P00334,669.419,4.0
P00336,638.112,8.562
P00340,616.189,0.041
P00343,606.411,1.179
P00344,635.143,2.591
P00346,579.494,5.936
P00347,604.100,6.785
P00357,632.303,8.556
P00358,631.688,0.172
P00361,621.676,8.869
P00370,624.074,8.751
P00371,228.048,0.51
P00378,206.091,4.571
P00381,212.271,1.545
P00383,198.598,3.993
P00384,210.446,5.416
P00386,220.253,3.174
P00387,179.636,1.872
P00390,186.121,7.279
P00395,226.840,0.19
P00432,177.017,0.211
P00438,211.728,8.168
P00440,210.811,1.345
P00444,205.718,1.351
P00451,192.530,1.598
P00452,203.127,4.679
P00456,197.096,9.888
P00458,189.530,7.232
P00460,182.807,0.815
P00461,192.106,5.87
P00463,204.783,2.874
P00465,186.093,1.174
P00470,224.570,7.989
P00471,170.345,3.221
P00473,195.564,2.748
P00475,201.828,2.694
P00477,228.223,7.996
P00480,175.970,2.996
P00481,215.991,7.455
P00485,202.585,5.235
P00487,185.796,4.001
P00488,184.640,4.521
P00495,203.643,9.906
P00501,221.332,0.907
P00503,240.354,8.897
P00504,189.507,4.314
P00507,197.978,7.359
P00514,171.029,3.709
P00516,208.495,6.326
P00521,173.548,4.495
P00528,191.089,3.378
P00529,217.837,1.058
P00534,191.467,2.402
P00535,239.868,0.321
P00536,196.622,4.806
P00538,147.873,3.901
P00540,207.615,4.495
P00547,209.191,8.725
P00550,222.254,1.355
P00551,179.994,4.412
P00553,198.155,5.077
P00556,169.314,9.117
P00561,211.421,4.505
P00564,205.436,0.976
P00566,208.458,8.561
P00574,202.820,6.499
P00575,192.854,2.306
P00579,166.856,6.535
P00582,207.581,5.903
P00585,202.910,1.943
P00588,178.675,5.062
P00594,198.325,0.194
P00600,195.425,0.279
P00602,173.672,3.535
P00603,244.163,9.076
P00605,190.460,6.074
P00609,162.158,0.051
P00615,166.868,7.992
P00617,184.723,3.386
P00618,199.873,2.229
P00626,214.100,0.421
P00628,162.181,4.762
P00630,192.505,5.591
P00631,164.241,4.055
P00633,209.889,1.74
P00638,217.590,4.733
P00641,211.718,5.669
P00645,173.124,0.251
P00647,228.731,8.344
P00651,182.240,5.846
P00655,197.693,5.575
P00659,216.421,7.977
P00660,186.584,6.33
P00664,194.554,6.62
P00666,206.650,8.042
P00668,220.711,9.148
P00673,186.722,7.634
P00676,200.081,9.326
P00678,179.845,6.288
P00680,182.366,5.073
P00681,185.783,9.629
P00682,214.961,0.028
P00685,181.483,5.522
P00691,186.735,3.292
P00694,226.634,0.958
P00697,172.039,7.743
P00699,182.367,4.578
P00702,193.315,2.848
P00713,217.522,4.693
P00714,194.638,9.182
P00717,188.315,5.485
P00720,181.712,1.395
P00726,168.656,0.046
P00728,189.119,8.043
P00731,190.863,9.216
P00734,199.608,6.369
P00735,218.560,1.375
P00739,173.723,1.701
P00743,188.798,4.036
P00744,191.665,2.789
P00750,198.652,8.006
P00751,185.643,6.224
P00757,181.426,6.839
P00760,198.029,3.287
P00761,188.484,8.352
P00770,182.959,5.179
P00775,179.178,6.182
P00778,210.199,8.607
P00780,201.205,4.233
P00782,179.082,4.132
P00785,184.552,6.858
P00786,173.987,1.417
P00788,198.141,5.567
P00789,177.738,8.283
P00794,214.938,3.304
P00797,210.324,5.722
P00798,189.086,7.477
P00800,185.176,5.351
P00807,166.492,5.592
P00810,200.618,6.871
P00813,202.169,0.521
P00814,209.373,1.354
P00818,189.721,0.947
P00821,192.482,7.838
P00823,214.267,6.238
P00825,226.580,7.136
P00827,202.250,3.437
P00828,197.790,0.984
P00833,198.418,0.871
P00834,215.085,9.39
P00837,163.098,0.558
P00884,208.542,7.135
P00889,198.867,8.292
P00890,203.532,1.093
P00891,226.958,5.467
P00893,210.698,2.964
P00894,212.548,1.879
P00895,204.331,8.834
P00896,217.933,4.014
P00899,220.707,9.81
P00900,202.766,2.064
P00903,201.873,0.224
P00904,219.076,7.493
P00916,196.458,5.431
P00918,218.871,4.231
P00924,178.064,3.623
P00925,195.681,5.157
P00926,165.766,4.79
P00932,183.975,8.713
P00938,162.698,8.06
P00941,185.072,9.024
P00942,234.874,9.72
P00944,130.377,1.955
P00945,194.893,0.76
P00950,185.504,4.943
P00951,202.486,5.652
P00955,229.475,0.155
P00963,186.785,0.016
P00965,205.648,3.845
P00970,199.471,5.247
P00976,169.388,6.74
P00978,179.349,4.905
P00985,205.139,8.097
P00987,167.374,6.793
P00989,196.306,1.332
P00990,225.832,4.938
P00991,219.097,9.307
P00993,186.937,1.733
P01009,201.609,7.736
