partsid,totalcfp,cfp
P00009,15898.545,6.09
P00011,16454.866,9.467
P00012,16379.826,0.638
P00014,7790.088,8.121
P00017,5531.477,2.898
P00019,5324.277,3.413
P00021,5447.875,3.566
P00024,5515.383,5.824
P00027,5327.356,9.591
P00032,5488.346,0.682
P00038,5443.307,3.562
P00043,1777.939,5.137
P00046,1803.418,2.464
P00051,1880.393,7.136
P00059,1848.109,9.728
P00061,1800.387,0.208
P00066,1816.957,5.084
P00073,1844.639,9.708
P00074,1850.661,1.529
P00076,1796.462,0.683
P00088,1745.514,4.059
P00089,1824.980,9.955
P00093,1842.920,8.875
P00097,1834.311,3.484
P00100,1861.787,1.601
P00102,1770.425,2.69
P00110,1802.851,8.689
P00111,1848.270,1.017
P00112,1875.251,3.252
P00116,1904.399,2.069
P00117,1795.616,0.805
P00127,579.203,5.022
P00137,611.076,9.275
P00139,585.183,4.654
P00143,654.164,9.44
P00146,656.634,6.519
P00147,614.112,8.128
P00153,599.303,3.064
P00161,539.767,9.894
P00163,580.442,0.617
P00169,603.183,0.339
P00176,612.152,3.841
P00179,557.868,8.334
P00180,572.154,8.487
P00181,575.830,9.489
P00182,616.789,2.118
P00185,521.561,2.664
P00187,616.430,7.256
P00192,622.193,0.525
P00198,600.387,2.966
P00202,558.289,9.439
P00205,584.153,7.564
P00217,590.032,6.152
P00219,628.676,4.738
P00220,596.492,6.782
P00224,573.213,3.344
P00229,605.218,3.481
P00234,601.910,6.616
P00238,631.468,1.21
P00243,621.043,8.403
P00248,534.259,5.826
P00251,586.168,0.869
P00258,558.358,7.439
P00260,605.165,7.605
P00261,540.051,0.548
P00263,573.634,3.374
P00266,608.707,8.36
P00273,559.603,9.14
P00275,629.756,3.031
P00276,610.302,7.551
P00277,586.749,3.744
P00280,691.838,6.652
P00281,625.893,1.572
P00284,616.174,2.554
P00287,621.007,0.297
P00290,610.402,3.053
P00297,664.166,4.417
P00300,624.123,1.995
P00303,631.393,9.68
P00308,554.904,7.35
P00309,650.857,5.331
P00312,609.560,1.778
P00314,639.094,6.908
P00315,494.404,0.347
P00317,597.532,0.382
P00324,571.698,8.415
P00326,589.771,8.57
P00331,598.077,3.961
P00337,636.470,3.732
P00339,625.378,7.846
P00349,673.767,4.177
P00353,662.583,6.413
P00354,677.957,4.679
P00355,591.008,7.807
P00359,639.428,4.917
P00364,542.564,3.126
P00365,602.412,1.854
P00372,160.512,5.232
P00374,199.702,5.905
P00382,175.412,8.293
P00391,181.098,3.975
P00392,203.860,7.945
P00394,222.881,1.516
P00397,196.656,4.985
P00403,221.846,4.963
P00409,218.331,8.996
P00411,213.437,4.007
P00412,193.607,2.709
P00418,214.226,2.13
P00426,198.730,3.756
P00431,202.029,7.011
P00434,190.773,4.541
P00435,205.759,6.16
P00439,227.000,6.136
P00441,200.935,9.615
P00445,208.165,1.454
P00448,198.575,6.954
P00453,195.334,2.907
P00455,245.987,5.582
P00457,188.326,8.294
P00466,182.194,6.175
P00472,199.214,5.315
P00476,212.464,5.411
P00479,214.612,7.026
P00483,165.242,7.252
P00492,184.990,3.037
P00494,235.394,5.021
P00496,212.600,9.411
P00512,195.064,3.843
P00524,164.712,8.082
P00526,178.028,4.445
P00527,199.385,4.982
P00565,192.258,6.238
P00571,212.462,8.027
P00576,199.425,9.775
P00580,183.309,5.556
P00586,214.251,9.524
P00591,207.100,8.189
P00593,205.172,4.807
P00596,186.593,2.246
P00597,194.300,2.116
P00599,207.158,4.497
P00601,176.617,4.894
P00610,215.868,9.711
P00611,185.493,7.021
P00620,226.596,6.042
P00623,192.080,5.241
P00624,193.558,4.911
P00627,201.837,1.033
P00632,207.473,0.494
P00635,182.453,3.83
P00636,221.969,1.894
P00637,192.508,9.566
P00640,243.802,7.815
P00644,190.392,0.857
P00652,199.425,2.819
P00653,197.435,1.601
P00656,218.387,6.993
P00658,198.880,1.522
P00663,219.924,5.024
P00665,203.850,2.364
P00667,187.865,7.812
P00669,202.680,5.148
P00670,217.714,8.737
P00674,184.136,0.565
P00677,214.856,1.653
P00679,211.514,5.801
P00684,192.095,5.174
P00687,218.383,2.186
P00688,193.100,1.81
P00690,177.147,5.809
P00696,214.349,7.316
P00698,212.843,6.703
P00700,186.857,3.601
P00701,207.744,2.179
P00705,206.285,7.042
P00708,205.009,6.424
P00709,195.891,3.783
P00710,201.578,7.864
P00712,196.935,0.267
P00718,212.250,1.29
P00719,192.486,5.248
P00721,228.410,8.543
P00722,207.972,3.814
P00727,194.094,1.634
P00740,162.739,2.172
P00747,197.030,1.796
P00752,205.056,7.695
P00753,206.761,3.488
P00754,173.482,1.242
P00763,194.096,8.457
P00764,186.797,0.518
P00766,178.729,2.953
P00767,170.447,2.176
P00771,185.067,0.189
P00779,208.826,0.898
P00790,194.381,4.641
P00792,183.938,1.906
P00799,200.937,6.739
P00801,180.344,9.797
P00802,237.485,6.471
P00808,197.562,2.48
P00811,197.761,8.695
P00816,176.042,4.49
P00819,175.262,4.485
P00822,218.015,2.195
P00832,211.686,4.961
P00836,174.708,5.79
P00838,206.943,4.959
P00844,210.965,8.866
P00846,218.201,7.894
P00847,198.120,4.779
P00848,231.022,7.291
P00851,216.750,0.567
P00853,185.429,3.147
P00856,167.069,1.7
P00857,221.225,9.563
P00858,188.041,6.718
P00860,224.911,1.161
P00865,210.742,3.138
P00866,204.515,0.759
P00867,234.944,9.46
P00872,223.079,7.303
P00874,198.260,6.366
P00878,190.302,9.458
P00880,193.601,2.032
P00885,190.701,1.928
P00886,205.191,6.71
P00887,211.543,3.184
P00898,174.174,5.371
P00901,198.655,2.131
P00907,208.363,8.702
P00909,179.182,1.226
P00912,172.529,7.782
P00913,198.885,5.961
P00914,211.136,2.936
P00915,187.418,7.694
P00917,199.198,8.229
P00920,170.982,9.047
P00921,183.185,5.526
P00923,173.809,8.414
P00927,241.871,8.754
P00928,237.889,6.402
P00931,187.112,9.057
P00933,197.949,4.414
P00949,235.961,4.842
P00952,209.160,3.794
P00956,191.885,5.672
P00958,188.615,4.995
P00962,216.853,0.308
P00967,187.892,6.491
P00968,206.053,6.24
P00972,168.072,3.083
P00977,214.601,2.808
P00980,204.846,8.63
P00988,159.859,4.486
P00997,206.799,2.772
P01001,220.386,3.262
P01002,222.574,2.755
P01003,222.459,3.627
P01004,206.462,4.408
P01005,189.330,5.745
P01008,214.288,8.604
P01010,216.065,2.284
P01048,260.545,9.303
P01053,171.736,9.712
P01054,207.354,4.132
P01057,190.208,5.415
P01060,232.307,9.791
P01063,214.783,5.179
P01070,189.741,8.318
P01071,224.977,7.993
P01073,221.504,6.208
P01087,229.616,1.894
P01092,154.091,1.691
P01097,220.760,4.24
P01102,181.162,4.139
P01104,187.454,0.876
P01105,196.023,7.437
P01107,190.012,0.292
P01111,163.254,8.649
P01113,79.250,9.464
P01115,52.654,8.508
P01118,58.784,6.763
P01119,59.544,8.867
P01124,48.076,7.94
P01127,53.761,0.708
P01128,53.776,1.081
P01130,56.941,7.448
P01133,79.475,7.885
P01134,61.824,4.272
P01140,60.212,3.613
P01141,65.822,1.437
P01146,49.213,4.081
P01149,63.245,7.527
P01152,73.924,8.7
P01156,66.200,7.307
P01163,69.536,3.108
P01164,66.436,6.195
P01166,56.530,6.667
P01167,68.740,4.367
P01169,54.578,0.477
P01170,58.254,3.679
P01174,50.233,1.159
P01178,54.389,6.623
P01180,88.532,3.653
P01184,74.523,7.723
P01185,100.077,4.566
P01188,54.076,5.644
P01191,54.425,1.685
P01195,59.665,6.156
P01196,67.441,5.331
P01199,66.251,3.362
P01212,71.930,9.191
P01214,57.576,2.412
P01220,47.313,1.084
P01223,43.134,0.307
P01225,53.638,6.654
P01227,73.331,7.145
P01236,46.546,1.805
P01239,62.732,0.053
P01241,65.421,5.257
P01247,60.195,2.124
P01248,52.518,0.61
P01250,68.783,6.665
P01252,48.973,0.382
P01256,56.923,0.536
P01263,71.465,1.059
P01267,72.635,2.522
P01270,71.307,1.146
P01273,58.644,0.542
P01274,53.635,8.275
P01275,76.719,9.662
P01277,73.147,7.752
P01280,59.382,6.236
P01281,70.053,0.821
P01287,54.965,2.61
P01289,68.695,4.052
P01297,53.730,4.491
P01298,51.772,3.065
P01299,51.798,6.68
P01300,70.177,9.862
P01303,65.424,8.243
P01312,61.725,5.499
P01314,66.924,6.166
P01317,67.361,5.099
P01318,74.061,9.57
P01321,70.222,6.169
P01328,58.071,8.922
P01341,66.174,1.509
P01342,61.567,7.225
P01348,66.041,4.837
P01349,74.620,3.601
P01351,77.583,1.802
P01353,83.556,6.749
P01356,57.564,1.792
P01357,74.647,6.69
P01358,61.126,2.771
P01359,70.909,1.194
P01362,71.773,6.901
P01368,60.587,3.542
P01370,66.292,7.038
P01373,64.326,9.712
P01374,56.507,0.29
P01375,61.465,3.678
P01382,64.320,4.664
P01385,71.080,5.659
P01388,69.414,3.461
P01390,61.666,5.224
P01394,47.775,0.816
P01395,61.501,2.396
P01402,74.415,9.1
P01405,71.519,0.323
P01406,53.116,2.466
P01409,72.680,2.077
P01411,87.818,9.1
P01417,70.913,6.928
P01427,60.197,7.166
P01433,62.671,8.548
P01434,61.423,9.927
P01435,69.524,7.186
P01436,85.803,0.433
P01438,60.298,1.331
P01439,62.107,2.758
P01441,46.752,2.293
P01442,72.167,8.184
P01443,80.005,9.729
P01446,52.466,0.464
P01450,62.728,9.54
P01458,66.820,5.481
P01462,55.264,8.791
P01463,54.417,3.099
P01464,65.740,6.887
P01465,59.962,4.889
P01466,66.025,0.582
P01469,60.695,6.578
P01518,74.706,2.287
P01520,63.509,4.716
P01523,70.965,4.348
P01524,73.472,2.233
P01525,52.269,7.255
P01527,82.675,9.752
P01533,67.009,3.13
P01534,53.757,9.782
P01538,60.816,1.093
P01541,50.103,7.203
P01542,50.996,1.049
P01549,75.032,8.759
P01551,57.555,6.964
P01552,70.468,5.689
P01553,78.652,6.517
P01554,56.814,3.547
P01555,93.843,7.783
P01558,51.016,5.339
P01561,60.063,5.049
P01562,61.757,4.186
P01567,61.069,9.778
P01571,52.346,0.829
P01576,61.243,2.708
P01581,72.980,8.104
P01582,54.445,4.134
P01586,71.917,9.598
P01587,76.548,5.749
P01591,65.248,0.839
P01593,55.005,8.455
P01598,58.668,7.903
P01599,61.509,3.972
P01605,80.728,8.0
