partsid,totalcfp,cfp
P00006,16330.224,6.216
P00008,16261.997,7.183
P00010,16201.437,2.757
P00018,5468.254,7.297
P00022,5442.074,6.852
P00029,5258.028,3.65
P00030,5399.868,3.97
P00033,5607.752,1.425
P00034,5349.301,0.24
P00036,5490.150,4.483
P00040,5524.982,7.077
P00041,4270.534,3.309
P00044,1892.102,0.588
P00048,1820.123,9.781
P00049,1888.623,1.688
P00052,1802.642,3.945
P00053,1847.000,8.059
P00064,1823.901,7.904
P00067,1767.470,9.838
P00068,1753.064,0.515
P00072,1756.972,6.565
P00075,1776.112,5.976
P00080,1885.449,0.801
P00083,1693.901,3.175
P00096,1886.662,6.156
P00101,1785.888,3.69
P00104,1779.881,7.034
P00105,1764.850,2.522
P00107,1852.170,0.32
P00108,1785.713,9.288
P00113,1811.529,1.236
P00115,1809.726,3.85
P00119,1910.597,9.696
P00124,607.204,7.282
P00126,598.083,1.109
P00131,639.718,3.164
P00134,594.659,0.134
P00135,577.485,2.0
P00138,604.695,1.891
P00141,603.816,9.635
P00145,597.853,1.308
P00150,608.850,8.453
P00155,599.532,7.399
P00162,612.443,6.94
P00167,567.734,2.608
P00168,611.173,3.931
P00172,604.572,2.701
P00173,630.840,1.436
P00174,602.784,0.323
P00175,496.003,5.121
P00177,604.287,8.77
P00178,621.942,5.083
P00183,607.801,7.48
P00188,588.467,9.591
P00189,621.726,1.621
P00191,624.537,2.141
P00194,609.502,1.843
P00195,622.716,2.212
P00199,601.516,7.139
P00200,583.377,4.177
P00207,603.733,6.279
P00209,583.384,5.266
P00212,601.320,4.39
P00213,676.746,0.834
P00216,605.487,6.074
P00218,609.763,8.42
P00222,605.595,7.23
P00226,614.329,8.114
P00227,590.583,7.473
P00228,599.978,2.908
P00232,583.694,2.41
P00239,656.613,7.374
P00242,580.414,8.257
P00244,565.394,5.768
P00245,619.520,1.388
P00255,570.254,3.201
P00256,560.391,1.836
P00259,630.896,7.585
P00265,620.012,2.447
P00267,606.730,3.725
P00270,582.245,0.645
P00271,636.066,8.437
P00278,593.149,8.998
P00285,532.235,4.669
P00288,627.282,2.637
P00292,619.321,9.466
P00294,610.773,5.009
P00299,612.604,6.311
P00302,602.394,0.024
P00304,548.411,1.692
P00307,549.936,2.853
P00311,572.597,7.458
P00313,590.690,3.131
P00316,628.830,4.131
P00318,628.094,4.488
P00323,609.341,7.825
P00325,595.386,8.487
P00332,570.265,5.15
P00333,607.569,9.359
P00335,597.417,9.457
P00338,568.726,1.353
P00342,592.353,5.314
P00345,591.239,5.776
P00348,624.463,2.793
P00350,634.981,6.841
P00351,563.705,4.492
P00352,596.125,0.842
P00360,563.954,3.672
P00362,634.837,7.264
P00363,597.206,7.128
P00366,654.387,8.241
P00367,589.730,9.706
P00368,607.916,4.593
P00375,176.680,3.641
P00376,168.853,1.833
P00377,191.309,8.993
P00379,199.574,1.197
P00385,177.478,4.329
P00388,200.682,1.655
P00389,201.487,0.465
P00393,209.813,6.637
P00400,210.618,8.491
P00401,186.131,9.516
P00404,217.305,7.477
P00405,171.751,2.838
P00408,168.456,1.382
P00415,198.423,1.585
P00417,191.760,4.143
P00420,182.224,1.331
P00421,176.728,1.4
P00429,194.855,2.225
P00430,217.863,7.633
P00482,167.241,6.229
P00484,197.390,7.496
P00486,217.122,6.127
P00489,192.741,5.924
P00490,202.444,9.016
P00491,210.989,8.505
P00497,186.690,2.824
P00498,208.105,1.939
P00499,224.083,4.601
P00500,149.990,0.21
P00505,177.381,7.676
P00506,205.003,7.747
P00508,199.863,3.157
P00509,233.491,9.807
P00510,177.454,0.417
P00511,216.524,8.42
P00513,194.731,6.148
P00515,178.212,1.954
P00517,215.164,2.44
P00518,235.864,6.555
P00520,193.834,7.128
P00522,234.010,6.461
P00523,194.903,4.693
P00525,148.142,5.832
P00531,221.362,7.79
P00544,178.489,1.8
P00546,205.315,6.451
P00549,204.233,4.854
P00552,190.133,4.862
P00555,183.861,1.611
P00557,228.052,6.452
P00567,204.537,9.871
P00569,218.583,9.361
P00572,217.335,6.136
P00573,202.241,1.0
P00577,229.389,8.558
P00578,212.427,1.213
P00581,191.018,8.319
P00583,209.060,9.585
P00584,203.343,2.04
P00589,211.507,9.898
P00590,204.142,6.951
P00595,193.924,7.352
P00598,213.484,0.085
P00604,188.386,4.123
P00606,172.984,3.386
P00607,185.406,1.995
P00608,179.772,6.69
P00612,217.030,3.113
P00613,195.844,6.633
P00619,202.005,6.021
P00621,188.581,5.876
P00625,197.704,1.115
P00629,178.178,2.169
P00634,215.248,0.689
P00642,188.467,1.56
P00643,219.113,2.823
P00646,187.338,7.829
P00648,182.742,3.842
P00649,187.940,8.233
P00654,206.215,8.538
P00657,206.671,6.071
