partsid,totalcfp
P00002,51306.686
P00003,48369.750
P00004,49455.821
P00005,18719.345
P00006,16330.224
P00007,16250.807
P00008,16261.997
P00010,16201.437
P00011,16454.866
P00012,16379.826
P00013,16617.854
P00014,7790.088
P00015,5449.289
P00016,5479.643
P00017,5531.477
P00018,5468.254
P00019,5324.277
P00021,5447.875
P00022,5442.074
P00023,5310.756
P00024,5515.383
P00025,5428.675
P00026,5383.628
P00027,5327.356
P00028,5181.471
P00029,5258.028
P00030,5399.868
P00032,5488.346
P00033,5607.752
P00034,5349.301
P00035,5353.503
P00036,5490.150
P00037,5535.535
P00038,5443.307
P00039,5648.443
P00040,5524.982
P00041,4270.534
P00043,1777.939
P00044,1892.102
P00045,1751.774
P00046,1803.418
P00047,1761.143
P00048,1820.123
P00049,1888.623
P00050,1845.544
P00051,1880.393
P00052,1802.642
P00054,1734.141
P00055,1879.816
P00056,1786.702
P00057,1801.318
P00058,1732.844
P00059,1848.109
P00060,1710.905
P00061,1800.387
P00062,1778.556
P00063,1841.852
P00065,1850.795
P00066,1816.957
P00067,1767.470
P00068,1753.064
P00069,1793.566
P00070,1755.384
P00071,1907.948
P00072,1756.972
P00073,1844.639
P00074,1850.661
P00076,1796.462
P00077,1675.775
P00078,1866.029
P00079,1834.922
P00080,1885.449
P00081,1767.457
P00082,1664.859
P00083,1693.901
P00084,1766.779
P00085,1715.496
P00087,1741.033
P00088,1745.514
P00089,1824.980
P00090,1785.093
P00091,1785.825
P00092,1827.027
P00093,1842.920
P00094,1862.918
P00095,1766.691
P00096,1886.662
P00098,1811.372
P00099,1933.168
P00100,1861.787
P00101,1785.888
P00102,1770.425
P00103,1792.748
P00104,1779.881
P00105,1764.850
P00106,1805.374
P00107,1852.170
P00109,1847.784
P00110,1802.851
P00111,1848.270
P00112,1875.251
P00113,1811.529
P00114,1818.490
P00115,1809.726
P00116,1904.399
P00117,1795.616
P07193,27.117
P07194,18.662
P07195,17.963
P07196,18.272
P07197,14.293
P07198,14.964
P07199,18.002
P07200,14.523
P07201,17.113
P07202,20.868
P07203,27.472
P07204,23.083
P07205,16.399
P07206,24.240
P07207,12.927
P07208,19.621
P07209,12.947
P07210,19.161
P07211,18.185
P07212,19.316
P07213,11.311
P07214,17.142
P07215,20.321
P07216,20.473
P07224,24.567
P07235,24.340
P07246,31.046
P07257,23.590
P07268,24.265
P07279,19.482
P07290,6.487
P07301,18.346
P07312,21.040
P07323,22.327
P07333,27.408
P07334,33.511
P07335,7.635
P07336,23.494
P07337,21.717
P07338,8.403
P07339,20.097
P07340,13.610
P07341,23.351
P07342,18.023
P07343,20.115
P07344,16.461
P07345,16.191
P07346,18.127
P07347,14.967
P07348,17.616
P07349,26.270
P07350,22.937
P07351,21.771
P07352,28.765
P07353,17.269
P07354,7.193
P07355,21.114
P07356,17.626
P07357,14.509
P07358,19.251
P07359,17.721
P07360,15.481
P07361,18.499
P07362,15.092
P07363,23.001
P07364,15.544
P07365,16.570
P07366,25.459
P07367,25.214
P00187,616.430
P00188,588.467
P00189,621.726
P00190,623.310
P00191,624.537
P00192,622.193
P00193,569.267
P00195,622.716
P00196,609.208
P00197,609.970
P00198,600.387
P00199,601.516
P00200,583.377
P00201,615.966
P00202,558.289
P00203,567.243
P00204,601.153
P00206,594.008
P00207,603.733
P00208,592.526
P00209,583.384
P00210,536.263
P00211,634.591
P00212,601.320
P00213,676.746
P00214,626.717
P00215,554.888
P00217,590.032
P00218,609.763
P00219,628.676
P00220,596.492
P00221,593.017
P00222,605.595
P00223,650.520
P00224,573.213
P00225,582.594
P00226,614.329
P00228,599.978
P00229,605.218
P00230,521.456
P00231,564.212
P00232,583.694
P00233,590.270
P00234,601.910
P00235,672.680
P00236,594.446
P00237,604.964
P00239,656.613
P00240,611.885
P00241,616.150
P00242,580.414
P00243,621.043
P00244,565.394
P00245,619.520
P00246,525.513
P00247,514.467
P00248,534.259
P00250,576.353
P00251,586.168
P00252,566.848
P00253,604.884
P00254,575.299
P00255,570.254
P00256,560.391
P00257,573.471
P00258,558.358
P00259,630.896
P00261,540.051
P00262,593.763
P00263,573.634
P00264,547.809
P00265,620.012
P00266,608.707
P00267,606.730
P00268,599.588
P00269,560.319
P00270,582.245
P00272,586.329
P00273,559.603
P00274,631.064
P00275,629.756
P00276,610.302
P00277,586.749
P00278,593.149
P00279,549.058
P00280,691.838
P00281,625.893
P00283,619.047
P00284,616.174
P00285,532.235
P00286,613.733
P00287,621.007
P00288,627.282
P00289,632.217
P00290,610.402
P00291,601.104
P00292,619.321
P00294,610.773
P00295,607.909
P00296,638.281
P00297,664.166
P00298,628.966
P00299,612.604
P00300,624.123
P00301,623.459
P00302,602.394
P00372,160.512
P00373,211.362
P00374,199.702
P00375,176.680
P00376,168.853
P00377,191.309
P00378,206.091
P00380,186.498
P00381,212.271
P00382,175.412
P00383,198.598
P00384,210.446
P00385,177.478
P00386,220.253
P00387,179.636
P00388,200.682
P00389,201.487
P00391,181.098
P00392,203.860
P00393,209.813
P00394,222.881
P00395,226.840
P00396,188.543
P00397,196.656
P00398,221.578
P00399,196.919
P00400,210.618
P00402,186.548
P00403,221.846
P00404,217.305
P00405,171.751
P00406,186.429
P00407,189.408
P00408,168.456
P00409,218.331
P00410,194.757
P00411,213.437
P00413,196.953
P00414,207.428
P00415,198.423
P00416,174.543
P00417,191.760
P00418,214.226
P00419,189.528
P00420,182.224
P00421,176.728
P00422,201.512
P00424,195.667
P00425,202.020
P00426,198.730
P00427,199.041
P00428,232.006
P00429,194.855
P00430,217.863
P00431,202.029
P00432,177.017
P00433,176.567
P00435,205.759
P00436,200.013
P00437,211.387
P00438,211.728
P00439,227.000
P00440,210.811
P00441,200.935
P00442,194.238
P00443,201.560
P00444,205.718
P00446,229.522
P00447,206.861
P00448,198.575
P00449,202.355
P00450,205.512
P00451,192.530
P00452,203.127
P00453,195.334
P00454,190.881
P00455,245.987
P00457,188.326
P00458,189.530
P00459,223.902
P00460,182.807
P00461,192.106
P00462,238.233
P00463,204.783
P00464,223.846
P00465,186.093
P00466,182.194
P00468,187.760
P00469,198.708
P00470,224.570
P00471,170.345
P00472,199.214
P00473,195.564
P00474,176.296
P00475,201.828
P00476,212.464
P00477,228.223
P00479,214.612
P00480,175.970
P00481,215.991
P00482,167.241
P00483,165.242
P00484,197.390
P00485,202.585
P00486,217.122
P00487,185.796
P07368,11.817
P07369,9.087
P07370,31.726
P07371,13.133
P07372,23.110
P07373,12.261
P07374,18.790
P07375,11.449
P07376,23.493
P07377,20.259
P07378,25.937
P07379,12.016
P07380,3.791
P07381,26.418
P07382,10.614
P07383,16.824
P07384,19.915
P07385,33.280
P07386,18.655
P07387,15.379
P07388,15.682
P07389,19.287
P07390,11.184
P07391,18.390
P07392,25.226
P07393,18.444
P07394,24.280
P07395,23.581
P07396,15.591
P07397,25.994
P07398,24.412
P07399,22.875
P07400,14.897
P07401,18.216
P07409,26.233
P07420,11.316
P07431,18.023
P07442,21.120
P07453,10.275
P07464,14.591
P07475,16.877
P07486,18.294
P07497,27.866
P07508,13.047
P07518,27.869
P07519,16.410
P07520,13.508
P07521,21.623
P07522,20.726
P07523,5.977
P07524,18.220
P07525,30.438
P07526,20.788
P07527,3.185
P07528,17.883
P07529,14.407
P07530,15.259
P07531,22.203
P07532,15.433
P07533,16.764
P07534,14.874
P07535,13.639
P07536,20.715
P07537,20.346
P07538,19.348
P07539,17.168
P07540,26.662
P07541,22.207
P07542,18.411
P00557,228.052
P00558,218.887
P00559,182.726
