partsid,totalcfp,cfp
P00005,6147.480,3.947
P00007,5427.704,7.194
P00012,5572.869,3.834
P00016,1804.463,2.656
P00019,1819.473,4.013
P00022,1854.611,7.368
P00027,1828.012,1.507
P00028,1748.098,0.1
P00031,1816.507,4.087
P00034,1743.850,1.527
P00037,1835.761,4.076
P00044,569.954,2.659
P00051,542.001,2.177
P00054,557.250,8.881
P00055,637.057,0.597
P00060,558.205,1.935
P00062,585.263,7.854
P00063,562.136,8.959
P00064,624.702,6.739
P00069,599.190,2.251
P00071,613.063,6.574
P00072,536.489,5.061
P00074,569.451,2.404
P00080,601.602,1.848
P00081,621.720,8.979
P00084,609.005,9.778
P00088,621.465,6.499
P00092,602.609,9.691
P00094,637.168,4.657
P00099,576.643,6.698
P00101,546.176,0.772
P00104,627.640,5.901
P00105,582.460,7.642
P00110,561.605,1.336
P00113,581.579,7.91
P00118,603.656,1.497
P00121,648.138,1.19
P00123,577.913,1.096
P00124,226.731,6.566
P00126,177.241,1.758
P00128,186.282,6.542
P00133,202.996,3.701
P00147,211.404,5.7
P00152,213.230,3.559
P00153,174.295,8.095
P00156,199.786,0.696
P00159,188.176,2.865
P00160,195.948,4.518
P00163,195.644,7.598
P00164,228.395,2.943
P00165,195.346,6.613
P00168,197.077,4.356
P00169,192.855,8.251
P00172,198.703,0.823
P00174,214.771,5.793
P00178,204.230,5.959
P00179,159.800,0.257
P00180,204.226,5.364
P00181,192.244,7.548
P00183,221.247,9.862
P00186,192.237,4.486
P00194,181.240,6.464
P00196,203.219,9.779
P00198,212.743,5.42
P00203,202.531,2.709
P00207,211.551,5.887
P00214,245.153,4.302
P00216,176.676,7.676
P00217,184.077,4.32
P00218,209.704,7.163
P00219,211.481,0.792
P00236,183.582,0.889
P00237,186.636,7.021
P00238,190.335,7.587
P00244,181.092,5.423
P00246,212.675,2.564
P00250,204.248,2.382
P00253,209.137,2.167
P00255,182.701,3.059
P00260,190.224,2.472
P00261,171.280,5.727
P00264,214.500,6.933
P00268,178.504,5.057
P00272,191.622,3.457
P00273,214.383,9.806
P00280,158.056,7.042
P00284,198.415,0.959
P00285,174.725,3.796
P00286,195.519,3.547
P00292,214.752,5.954
P00298,179.152,2.025
P00303,190.724,1.241
P00305,215.693,7.986
P00306,167.553,1.233
P00307,193.002,5.791
P00310,184.522,5.268
P00311,189.833,6.824
P00313,222.932,3.32
P00316,204.444,1.667
P00317,190.822,1.691
P00318,228.029,8.436
P00326,203.697,3.498
P00333,208.477,1.575
P00337,188.772,6.239
P00343,201.470,4.861
P00344,188.110,1.18
P00348,202.565,9.476
P00351,194.126,6.326
P00355,204.460,3.535
P00356,201.561,3.334
P00360,200.145,9.779
P00363,236.926,8.654
P00365,192.359,1.552
P00367,200.311,5.022
P00374,60.824,4.399
P00384,46.076,1.79
P00386,58.806,3.192
P00387,66.931,5.153
P00388,83.204,8.257
P00392,62.693,2.945
P00397,47.959,8.147
P00400,60.125,0.282
P00405,87.138,1.647
P00411,62.991,1.72
P00421,58.472,0.751
P00428,62.885,4.604
P00432,61.679,8.738
P00433,63.652,9.296
P00434,60.617,7.334
P00447,59.974,3.313
P00450,57.153,8.915
P00451,57.029,6.403
P00497,70.306,1.999
P00506,80.066,8.611
P00510,71.336,7.378
P00515,67.380,8.741
P00521,63.048,0.475
P00524,63.781,9.6
P00526,54.346,0.411
P00534,50.401,5.533
P00539,61.426,0.285
P00543,67.930,7.569
P00544,66.508,6.814
P00545,76.053,3.069
P00548,82.138,1.164
P00552,53.919,3.074
P00553,57.802,2.468
P00555,50.815,0.983
P00556,51.682,4.765
P00558,70.347,5.579
P00561,60.128,4.34
P00566,59.267,4.664
P00568,48.675,5.879
P00570,63.794,9.662
P00571,60.543,0.666
P00572,53.365,4.194
P00573,67.263,7.741
P00574,54.778,6.523
P00577,68.317,6.698
P00583,61.733,9.904
P00588,68.816,7.787
P00589,58.537,6.256
P00592,70.556,2.973
P00594,61.176,4.327
P00595,74.319,9.041
P00597,74.718,7.951
P00599,66.455,8.059
P00603,60.937,2.681
P00604,58.448,8.774
P00605,52.726,9.729
P00608,68.546,1.228
P00612,49.770,3.784
P00620,63.724,4.539
P00624,66.376,0.508
P00626,66.915,4.426
P00628,69.253,8.589
P00635,75.114,7.526
P00636,53.576,5.918
P00642,79.887,5.971
P00644,56.055,7.616
P00647,54.922,2.455
P00648,62.519,9.392
P00650,50.337,8.274
P00651,67.315,5.149
P00653,73.562,3.723
P00654,55.997,6.571
P00655,72.982,2.059
P00659,67.023,1.535
P00663,64.122,2.028
P00664,45.397,1.664
P00665,62.300,4.424
P00666,58.401,3.535
P00669,50.671,6.933
P00671,54.456,3.144
P00672,67.011,6.261
P00673,64.511,0.486
P00674,48.590,0.721
P00676,53.789,1.708
P00679,65.752,8.767
P00682,40.825,2.35
P00688,64.837,7.445
P00689,68.198,1.353
P00692,56.324,2.035
P00693,77.747,9.764
P00694,70.047,8.213
P00698,61.309,4.487
P00701,61.000,7.909
P00703,62.499,2.96
P00704,83.742,7.833
P00707,61.456,1.021
P00708,60.889,9.059
P00712,61.325,4.714
P00722,72.007,7.691
P00724,56.583,1.608
P00728,68.601,3.172
P00737,66.196,4.996
P00745,85.393,8.02
P00753,63.610,2.13
P00761,44.088,0.438
P00762,61.339,2.883
P00768,67.899,4.759
P00769,55.367,8.556
P00776,71.705,9.094
P00778,51.933,3.337
P00779,65.188,1.896
P00786,77.314,2.848
P00790,64.598,2.325
P00794,61.442,4.296
P00796,61.839,2.822
P00797,65.048,6.197
P00800,43.080,0.231
P00805,63.284,1.231
P00808,96.995,0.626
P00810,81.533,9.857
P00812,74.280,3.939
P00813,50.258,0.924
P00817,68.606,0.402
P00825,65.002,6.11
P00832,67.976,4.868
P00837,72.236,6.657
P00839,40.787,5.131
P00842,94.687,8.877
P00843,71.860,3.154
P00847,60.479,3.921
P00856,58.510,6.498
P00857,64.589,8.67
P00863,67.279,6.706
P00867,65.305,2.457
P00874,66.640,7.321
P00875,74.849,8.54
P00879,68.354,5.181
P00881,55.711,9.486
P00883,81.333,7.196
P00889,76.448,9.635
P00894,53.149,2.821
P00896,58.667,9.551
P00898,75.613,9.866
P00900,67.415,9.063
P00906,46.289,1.396
P00908,51.776,8.751
P00911,44.043,6.625
P00912,50.053,0.925
P00913,79.510,7.539
P00961,51.363,1.347
P00962,57.636,1.332
P00965,75.406,6.278
P00970,59.170,6.712
P00971,67.365,2.253
P00975,66.882,7.567
P00976,63.929,2.907
P00978,57.485,8.247
P00979,69.622,8.974
P00981,77.291,0.814
P00982,82.443,9.537
P00985,55.244,6.145
P00986,69.994,2.811
P00989,71.636,2.98
P00991,41.038,3.52
P00993,55.119,5.08
P01004,69.711,6.136
P01006,67.092,6.417
P01008,81.609,5.054
P01010,61.987,5.009
P01011,46.245,3.831
P01017,60.612,6.447
P01021,72.733,9.482
P01024,65.527,7.89
P01026,88.603,8.978
P01028,60.858,9.708
P01029,54.842,9.7
P01032,76.523,7.599
P01033,45.830,3.62
P01035,57.814,9.097
P01036,55.898,7.609
P01037,58.260,3.502
P01038,70.679,9.98
P01044,64.378,8.721
P01045,68.689,6.38
P01047,56.633,0.692
P01051,74.905,5.203
P01057,71.573,2.748
P01061,59.212,7.279
P01062,63.082,6.182
P01067,71.919,3.277
P01068,65.959,4.501
P01075,71.033,5.802
P01079,54.659,4.162
P01080,69.083,8.543
P01081,66.624,5.909
P01086,49.716,7.126
P01091,62.616,0.06
P01092,86.791,5.091
P01094,48.112,8.757
P01096,74.843,6.173
P01097,47.698,7.347
P01098,87.717,9.391
P01100,57.179,1.411
P01101,60.995,3.193
P01105,59.924,6.627
P01106,79.220,2.789
P01117,9.218,2.023
P01122,17.225,2.264
P01123,22.905,7.03
P01124,18.955,0.828
P01126,15.738,5.617
P01127,34.984,9.569
P01131,18.863,2.021
P01132,20.699,7.928
P01134,16.568,4.515
P01139,16.905,1.318
P01143,17.931,6.493
P01149,19.284,5.392
P01150,24.361,6.956
P01155,23.228,5.736
P01156,14.987,1.594
P01158,12.209,7.453
P01162,32.637,9.785
P01163,19.186,6.981
P01164,29.053,7.281
P01166,22.013,7.451
P01168,19.580,5.862
P01171,19.784,4.944
P01174,10.524,1.35
P01177,23.497,2.922
P01181,9.794,7.256
P01183,13.787,0.494
P01193,21.175,2.393
P01195,18.398,5.891
P01196,15.122,3.432
P01206,10.718,0.268
P01208,20.317,3.357
P01211,14.565,6.229
P01213,4.148,0.113
P01218,11.087,7.512
P01225,20.825,9.337
P01226,28.658,9.89
P01231,19.592,2.104
P01232,21.402,4.023
P01233,14.513,0.392
P01240,18.448,5.159
P01243,13.999,3.005
P01246,14.317,3.862
P01252,18.141,3.634
P01253,17.261,2.955
P01255,25.051,9.794
P01264,6.595,2.217
P01265,37.355,8.913
P01268,16.180,3.488
P01270,23.080,9.901
P01271,13.323,1.642
P01274,16.589,1.166
P01278,18.277,3.366
P01279,12.387,3.823
P01280,16.692,1.708
P01282,15.709,2.631
P01285,15.338,7.735
P01289,16.281,6.27
P01293,19.554,2.643
P01294,20.479,7.478
P01295,15.285,2.732
P01299,12.350,0.844
P01302,7.048,0.189
P01306,36.335,9.557
P01308,23.884,3.425
P01309,10.194,4.725
P01310,26.846,4.328
P01320,33.258,6.865
P01322,11.427,0.3
P01327,22.872,8.02
P01328,28.496,9.846
P01335,21.031,0.99
P01340,22.700,9.712
P01343,23.406,9.267
P01353,21.007,6.92
P01354,17.082,6.94
P01404,18.587,0.949
P01410,13.854,0.66
P01420,15.596,7.526
P01421,24.581,6.233
P01426,16.791,3.918
P01431,13.312,0.924
P01432,23.610,7.816
P01434,21.493,2.705
P01435,18.968,7.74
P01438,19.698,4.945
P01442,16.213,0.241
P01443,24.959,4.47
P01447,24.009,2.09
P01448,9.289,1.454
P01449,14.734,4.337
P01450,17.213,0.424
P01451,18.066,3.257
P01454,15.207,2.18
P01456,8.271,2.102
P01458,21.593,6.512
P01459,15.332,3.66
P01469,20.251,4.777
P01474,20.026,2.008
P01488,27.882,9.774
P01492,25.725,6.177
P01493,20.701,5.627
P01494,27.663,6.79
P01495,15.390,6.273
P01498,27.204,5.802
P01501,15.279,1.531
P01503,15.452,0.332
P01506,25.575,5.794
P01511,17.074,1.741
P01516,15.229,5.19
P01517,22.318,2.951
P01521,13.280,0.357
P01522,27.949,7.511
P01523,21.096,3.204
P01529,22.902,3.937
P01533,21.119,3.103
P01536,19.523,1.103
P01537,22.819,9.313
P01538,24.886,0.071
P01541,22.006,0.301
P01544,11.700,2.755
P01545,23.265,9.598
P01555,17.914,4.586
P01558,14.281,0.285
P01560,10.580,3.203
P01563,20.597,7.006
P01564,29.402,8.977
P01571,16.385,3.053
P01581,20.205,2.762
P01587,17.200,9.073
P01588,28.514,4.683
P01593,26.445,7.277
P01602,14.206,7.305
P01603,10.921,3.049
P01605,21.042,0.076
P01606,20.613,0.153
P01608,16.473,7.118
P01614,24.968,4.267
P01615,9.950,2.027
P01617,19.072,3.811
P01622,9.331,3.29
P01623,22.390,3.63
P01625,17.705,6.938
P01627,20.498,8.082
P01628,23.344,1.576
P01629,19.290,7.669
P01632,27.686,9.476
P01633,21.017,3.623
P01634,19.687,2.408
P01639,12.047,1.827
P01640,30.963,9.947
P01643,30.803,9.519
P01646,16.541,4.739
P01652,28.492,2.675
P01655,10.615,2.049
P01656,15.379,1.238
P01658,28.296,8.216
P01659,10.922,3.619
P01662,21.449,7.919
P01667,21.396,8.61
P01673,25.590,9.217
P01677,15.767,8.988
