partsid,totalcfp,cfp
P00295,188.473,5.036
P00742,76.300,4.336
P01209,33.330,7.85
P01609,20.102,7.411
P01950,9.363,3.91
P02254,22.501,8.042
P02570,25.697,7.142
P03025,29.110,8.813
P00323,219.546,3.944
P00743,54.351,6.724
P01212,17.910,6.315
P01610,11.213,0.741
P01980,13.064,1.437
P02294,16.986,4.628
P02596,12.658,5.324
P03028,34.489,8.825
P00353,210.653,3.649
P00747,52.779,3.424
P01220,21.260,5.937
P01611,19.318,4.821
P02012,17.106,2.608
P02322,30.997,5.647
P02616,27.529,0.341
P03029,18.935,7.913
P00402,60.363,9.516
P00749,61.858,3.135
P01222,30.289,5.719
P01613,20.596,9.133
P02057,12.629,0.977
P02349,19.515,3.768
P02642,18.402,2.511
P03030,21.108,4.251
P00429,45.722,7.516
P00783,62.363,2.946
P01223,7.059,1.434
P01618,16.421,7.856
P02074,20.597,6.54
P02372,20.861,0.75
P02679,22.545,3.118
P03032,10.256,0.668
P00453,72.889,7.298
P00828,54.701,2.477
P01230,23.275,1.961
P01619,18.351,7.659
P02080,20.496,9.993
P02408,24.785,5.161
P02701,13.340,8.234
P03033,14.346,2.228
P00505,46.817,4.151
P00853,57.542,0.555
P01235,28.026,6.83
P01626,10.516,0.624
P02083,21.174,0.955
P02435,16.609,5.079
P02720,21.753,6.231
P03039,11.092,1.522
P00522,76.106,8.072
P00872,74.672,9.234
P01247,25.884,7.441
P01630,17.727,0.393
P02086,15.605,0.213
P02466,21.354,5.022
P02764,20.890,1.157
P03081,25.018,5.849
P00549,60.093,4.2
P00910,66.966,6.906
P01261,13.073,3.852
P01631,10.991,4.504
P02090,21.592,0.373
P02508,23.856,6.497
P02788,12.579,7.52
P03116,30.355,8.005
P00596,71.644,1.523
P00940,74.624,7.51
P01292,23.815,7.053
P01635,30.049,8.071
P02093,21.436,8.37
P02528,25.549,8.142
P02819,23.772,5.701
P03145,21.580,8.024
P00619,75.736,7.122
P00984,69.236,5.902
P01324,24.848,6.415
P01636,23.248,8.615
P02094,17.643,4.253
P02530,22.113,8.247
P02857,10.000,1.667
P03171,25.138,4.532
P00643,96.042,8.649
P01015,56.605,0.53
P01342,18.896,6.523
P01641,10.440,2.909
P02096,21.587,7.678
P02531,19.411,9.114
P02881,18.350,5.573
P03211,16.063,0.864
P00696,66.872,2.969
P01052,46.434,1.758
P01359,22.293,8.655
P01647,20.778,1.01
P02097,26.452,2.963
P02532,15.471,9.414
P02927,16.641,6.148
P03244,22.449,6.29
P00719,71.916,5.112
P01084,55.400,2.653
P01385,18.637,0.716
P01661,13.227,1.857
P02098,22.339,1.168
P02533,18.248,2.485
P02969,18.962,5.278
P03274,18.390,9.518
P00720,50.800,8.518
P01136,20.392,5.942
P01406,22.330,8.878
P01700,11.134,1.012
P02099,19.215,2.298
P02538,15.358,7.509
P02989,18.272,5.696
P03319,25.447,2.174
P00723,80.857,4.275
P01165,26.708,9.982
P01429,20.876,9.941
P01727,29.590,5.405
P02107,25.848,8.89
P02544,16.258,3.062
P02990,18.307,2.04
P00727,75.135,1.614
P01190,14.854,1.403
P01466,13.133,3.064
P01747,13.051,4.858
P02108,26.761,8.031
P02549,19.298,4.985
P02997,23.284,6.031
P00729,64.508,0.618
P01192,14.802,2.925
P01507,18.843,3.67
P01788,27.906,8.761
P02109,17.366,2.777
P02554,18.654,3.827
P03005,29.336,9.517
P00731,66.233,8.35
P01194,20.441,3.405
P01534,11.927,2.563
P01808,12.634,0.116
P02110,15.412,8.328
P02556,17.016,6.325
P03011,28.506,8.768
P00734,68.319,6.467
P01197,26.890,3.595
P01568,12.615,7.097
P01846,12.762,1.151
P02129,11.279,0.183
P02563,13.163,1.782
P03013,22.722,8.802
P00735,56.491,0.507
P01199,11.508,5.573
P01592,18.568,7.69
P01876,31.289,5.835
P02147,16.410,7.466
P02564,14.900,3.565
P03014,16.286,1.733
P00002,16939.406,7.181
P00006,5357.041,4.453
P00008,5380.144,2.447
P00011,5480.289,7.403
P00014,2577.982,3.091
P00017,1755.442,9.249
P00020,1790.289,0.167
P00021,1775.610,3.509
P00024,1795.911,7.628
P00026,1810.466,1.621
P00030,1762.028,6.476
P00033,1806.186,5.037
P00035,1830.139,2.218
P00036,1903.135,5.018
P00038,1806.568,4.348
P00041,1402.503,2.268
P00043,594.705,4.915
P00045,585.017,8.3
P00049,635.692,6.692
P00053,581.698,5.783
P00058,601.945,7.49
P00065,613.160,0.254
P00068,615.490,3.156
P00070,647.796,4.144
P00076,550.028,1.395
P00087,596.267,0.999
P00089,563.941,0.807
P00090,591.692,0.035
P00095,568.888,0.229
P00096,685.729,1.374
P00098,584.159,3.795
P00100,640.347,6.048
P00102,577.286,1.038
P00107,593.788,5.296
P00114,613.956,7.891
P00115,606.685,7.941
P00116,613.402,9.844
P00117,585.976,6.329
P00120,661.647,8.096
P00122,595.591,1.758
P00125,209.500,3.856
P00129,214.036,5.095
P00134,200.458,0.502
P00135,187.932,2.339
P00137,208.133,1.232
P00139,205.778,4.459
P00141,223.788,0.919
P00144,199.241,3.617
P00150,201.046,7.186
P00151,226.972,5.493
P00154,152.299,4.542
P00157,188.651,2.854
P00162,178.601,1.73
P00166,212.719,0.246
P00167,175.847,6.731
P00170,219.276,5.249
P00173,182.549,2.839
P00176,211.638,8.351
P00182,195.380,1.936
P00184,200.928,6.929
P00185,171.730,8.821
P00187,213.442,7.138
P00190,206.943,3.163
P00192,207.689,6.211
P00193,231.293,6.291
P00197,204.791,3.468
P00202,186.272,3.501
P00204,182.271,8.944
P00209,212.195,3.418
P00212,199.479,6.932
P00215,170.675,9.109
P00226,226.346,6.869
P00228,194.930,0.685
P00229,184.990,6.701
P00231,204.650,0.532
P00234,200.802,8.284
P00239,189.545,7.055
P00240,197.594,8.235
P00241,212.615,3.168
P00242,225.692,2.201
P00247,216.803,6.917
P00254,179.420,5.77
P00265,187.422,4.965
P00267,174.917,4.83
P00270,191.551,9.296
P00271,184.227,0.811
P00274,183.983,8.568
P00276,196.840,0.727
P00278,205.160,9.719
P00281,223.414,3.382
P00282,192.301,4.048
P00283,216.796,8.915
P00289,227.920,7.423
P00293,199.611,6.865
P00294,192.280,4.362
P00736,42.425,4.29
P01200,26.660,7.378
P01604,33.742,8.273
P01904,28.105,8.119
P02187,19.628,9.291
P02566,20.243,4.865
P03019,18.873,1.212
P00297,179.551,3.437
P00302,179.256,1.155
P00309,187.912,9.186
P00312,208.974,3.896
P00314,193.195,0.33
P00319,197.649,1.257
P00320,177.584,5.218
P00321,186.370,5.746
P00327,237.667,2.046
P00328,213.336,8.839
P00329,189.314,7.819
P00331,204.362,7.922
P00332,189.030,4.67
P00335,218.861,4.461
P00338,178.437,8.969
P00339,205.449,6.421
P00341,191.260,4.806
P00342,213.335,1.779
P00346,219.786,1.268
P00347,205.672,2.347
P00354,187.046,7.3
P00364,201.631,8.059
P00368,206.383,4.195
P00369,202.987,9.432
P00372,60.927,5.498
P00375,62.862,9.231
P00376,81.958,2.715
P00380,51.020,6.93
P00383,63.434,4.561
P00391,57.199,2.355
P00393,77.592,6.811
P00394,42.862,1.772
P00403,74.298,5.817
P00407,68.890,1.276
P00410,72.954,6.23
P00412,70.956,5.008
P00413,48.414,2.452
P00414,63.209,7.223
P00415,60.020,0.301
P00419,60.935,9.514
P00420,61.505,3.648
P00422,94.693,7.781
P00435,66.271,7.366
P00437,58.639,2.376
P00438,85.545,4.295
P00440,84.884,4.867
P00441,57.014,8.042
P00443,74.211,5.021
P00445,75.453,3.775
P00446,70.079,9.34
P00448,62.155,0.459
P00449,79.678,6.823
P00462,49.393,1.352
P00463,54.194,2.827
P00469,53.528,2.555
P00476,50.869,1.512
P00477,65.112,6.849
P00481,72.849,7.858
P00491,86.403,3.3
P00499,69.435,3.343
P00500,45.912,2.692
P00501,59.284,2.203
P00503,76.645,9.563
P00504,69.259,6.439
P00507,58.108,5.24
P00509,78.011,5.422
P00512,75.235,5.367
P00513,69.926,0.438
P00516,71.990,6.074
P00517,58.510,2.148
P00518,75.212,4.486
P00520,46.101,0.829
P00523,69.824,4.594
