partsid, totalcfp
P00002,16939.406
P00003,16197.768
P00004,16613.016
P00005,6147.480
P00006,5357.041
P00007,5427.704
P00008,5380.144
P00010,5419.415
P00011,5480.289
P00012,5572.869
P00013,5552.381
P00014,2577.982
P00015,1761.088
P00016,1804.463
P00017,1755.442
P00018,1777.673
P00019,1819.473
P00021,1775.610
P00022,1854.611
P00023,1863.655
P00024,1795.911
P00025,1718.131
P00026,1810.466
P00027,1828.012
P00028,1748.098
P00029,1835.330
P00030,1762.028
P00032,1922.850
P00033,1806.186
P00034,1743.850
P00035,1830.139
P00036,1903.135
P00037,1835.761
P00038,1806.568
P00039,1805.799
P00040,1935.963
P00041,1402.503
P00043,594.705
P00044,569.954
P00045,585.017
P00046,599.771
P00047,599.434
P00048,566.681
P00049,635.692
P00050,626.574
P00051,542.001
P00052,577.618
P00054,557.250
P00055,637.057
P00056,570.095
P00057,643.420
P00058,601.945
P00059,610.174
P00060,558.205
P00061,621.743
P00062,585.263
P00063,562.136
P00065,613.160
P00066,643.327
P00067,590.756
P00068,615.490
P00069,599.190
P00070,647.796
P00071,613.063
P00072,536.489
P00073,638.731
P00074,569.451
P00076,550.028
P00077,601.396
P00078,640.755
P00079,566.694
P00080,601.602
P00081,621.720
P00082,603.183
P00083,578.662
P00084,609.005
P00085,560.331
P00087,596.267
P00088,621.465
P00089,563.941
P00090,591.692
P00091,599.919
P00092,602.609
P00093,572.643
P00094,637.168
P00095,568.888
P00096,685.729
P00098,584.159
P00099,576.643
P00100,640.347
P00101,546.176
P00102,577.286
P00103,618.861
P00104,627.640
P00105,582.460
P00106,617.821
P00107,593.788
P00109,660.692
P00110,561.605
P00111,593.117
P00112,676.963
P00113,581.579
P00114,613.956
P00115,606.685
P00116,613.402
P00117,585.976
P02427,20.384
P02438,23.138
P02449,15.359
P02460,26.217
P02471,26.966
P02482,26.183
P02493,4.218
P02504,32.153
P02515,10.698
P02525,21.915
P02526,35.473
P02527,28.422
P02528,25.549
P02529,21.044
P02530,22.113
P02531,19.411
P02532,15.471
P02533,18.248
P02534,24.047
P02535,13.005
P02536,16.828
P02537,22.710
P02538,15.358
P02539,23.538
P02540,19.419
P02541,20.970
P02542,16.169
P02543,18.061
P02544,16.258
P02545,27.093
P02546,24.147
P02547,12.348
P02548,13.461
P02549,19.298
P02550,27.896
P02551,30.347
P02552,19.446
P02553,24.181
P02554,18.654
P02555,21.342
P02556,17.016
P02557,25.638
P02558,18.893
P02559,21.747
P02560,16.347
P02561,21.729
P02562,19.507
P02563,13.163
P02564,14.900
P02565,19.955
P02566,20.243
P02567,19.509
P02568,9.953
P02569,22.550
P02570,25.697
P02571,10.671
P02572,19.551
P02573,16.086
P02574,16.337
P02575,23.032
P02576,22.758
P02577,25.388
P02578,17.383
P02579,24.837
P02580,23.513
P02581,27.672
P02582,31.328
P02583,9.613
P02584,26.471
P00187,213.442
P00188,184.442
P00189,161.792
P00190,206.943
P00191,178.981
P00192,207.689
P00193,231.293
P00195,228.447
P00196,203.219
P00197,204.791
P00198,212.743
P00199,222.703
P00200,208.651
P00201,192.867
P00202,186.272
P00203,202.531
P00204,182.271
P00206,192.600
P00207,211.551
P00208,192.788
P00209,212.195
P00210,222.357
P00211,209.100
P00212,199.479
P00213,161.857
P00214,245.153
P00215,170.675
P00217,184.077
P00218,209.704
P00219,211.481
P00220,216.445
P00221,180.504
P00222,186.170
P00223,200.373
P00224,191.786
P00225,170.226
P00226,226.346
P00228,194.930
P00229,184.990
P00230,202.298
P00231,204.650
P00232,193.736
P00233,212.251
P00234,200.802
P00235,218.701
P00236,183.582
P00237,186.636
P00239,189.545
P00240,197.594
P00241,212.615
P00242,225.692
P00243,205.957
P00244,181.092
P00245,168.009
P00246,212.675
P00247,216.803
P00248,194.279
P00250,204.248
P00251,177.638
P00252,212.452
P00253,209.137
P00254,179.420
P00255,182.701
P00256,195.558
P00257,186.464
P00258,223.479
P00259,201.105
P00261,171.280
P00262,233.764
P00263,213.044
P00264,214.500
P00265,187.422
P00266,209.713
P00267,174.917
P00268,178.504
P00269,215.879
P00270,191.551
P00272,191.622
P00273,214.383
P00274,183.983
P00275,182.373
P00276,196.840
P00277,213.705
P00278,205.160
P00279,203.127
P00280,158.056
P00281,223.414
P00283,216.796
P00284,198.415
P00285,174.725
P00286,195.519
P00287,240.241
P00288,216.194
P00289,227.920
P00290,222.324
P00291,226.998
P00292,214.752
P00294,192.280
P00295,188.473
P00296,211.242
P00297,179.551
P00298,179.152
P00299,197.252
P00300,190.517
P00301,246.530
P00302,179.256
P00372,60.927
P00373,69.624
P00374,60.824
P00375,62.862
P00376,81.958
P00377,62.426
P00378,62.989
P00380,51.020
P00381,63.015
P00382,66.865
P00383,63.434
P00384,46.076
P00385,70.230
P00386,58.806
P00387,66.931
P00388,83.204
P00389,70.082
P00391,57.199
P00392,62.693
P00393,77.592
P00394,42.862
P00395,60.003
P00396,59.913
P00397,47.959
P00398,65.705
P00399,73.465
P00400,60.125
P00402,60.363
P00403,74.298
P00404,39.584
P00405,87.138
P00406,58.871
P00407,68.890
P00408,47.728
P00409,71.325
P00410,72.954
P00411,62.991
P00413,48.414
P00414,63.209
P00415,60.020
P00416,86.132
P00417,50.045
P00418,65.142
P00419,60.935
P00420,61.505
P00421,58.472
P00422,94.693
P00424,62.603
P00425,76.023
P00426,55.606
P00427,59.155
P00428,62.885
P00429,45.722
P00430,51.414
P00431,70.293
P00432,61.679
P00433,63.652
P00435,66.271
