partsid,datalink,parents_partsid,totalcfp
P00001,postgresA,NULL,0.0
P00002,postgresC,P00001,0.0
P00003,postgresA,P00001,0.0
P00004,postgresB,P00001,0.0
P00005,postgresB,P00002,0.0
P00006,postgresC,P00002,0.0
P00007,postgresB,P00002,0.0
P00008,postgresC,P00003,0.0
P00009,postgresA,P00003,0.0
P00010,postgresA,P00003,0.0
P00011,postgresC,P00004,0.0
P00012,postgresB,P00004,0.0
P00013,postgresB,P00004,0.0
P00014,postgresC,P00005,0.0
P00015,postgresA,P00005,0.0
P00016,postgresB,P00005,0.0
P00017,postgresC,P00006,0.0
P00018,postgresA,P00006,0.0
P00019,postgresB,P00006,0.0
P00020,postgresC,P00007,0.0
P00021,postgresC,P00007,0.0
P00022,postgresB,P00007,0.0
P00023,postgresA,P00008,0.0
P00024,postgresC,P00008,0.0
P00025,postgresA,P00008,0.0
P00026,postgresC,P00009,0.0
P00027,postgresB,P00009,0.0
P00028,postgresB,P00009,0.0
P00029,postgresA,P00010,0.0
P00030,postgresC,P00010,0.0
P00031,postgresB,P00010,0.0
P00032,postgresA,P00011,0.0
P00033,postgresC,P00011,0.0
P00034,postgresB,P00011,0.0
P00035,postgresC,P00012,0.0
P00036,postgresC,P00012,0.0
P00037,postgresB,P00012,0.0
P00038,postgresC,P00013,0.0
P00039,postgresA,P00013,0.0
P00040,postgresA,P00013,0.0
P00041,postgresC,P00014,0.0
P00042,postgresA,P00014,0.0
P00043,postgresC,P00014,0.0
P00044,postgresB,P00015,0.0
P00045,postgresC,P00015,0.0
P00046,postgresA,P00015,0.0
P00047,postgresA,P00016,0.0
P00048,postgresA,P00016,0.0
P00049,postgresC,P00016,0.0
P00050,postgresA,P00017,0.0
P00051,postgresB,P00017,0.0
P00052,postgresB,P00017,0.0
P00053,postgresC,P00018,0.0
P00054,postgresB,P00018,0.0
P00055,postgresB,P00018,0.0
P00056,postgresA,P00019,0.0
P00057,postgresA,P00019,0.0
P00058,postgresC,P00019,0.0
P00059,postgresA,P00020,0.0
P00060,postgresB,P00020,0.0
P00061,postgresA,P00020,0.0
P00062,postgresB,P00021,0.0
P00063,postgresB,P00021,0.0
P00064,postgresB,P00021,0.0
P00065,postgresC,P00022,0.0
P00066,postgresA,P00022,0.0
P00067,postgresA,P00022,0.0
P00068,postgresC,P00023,0.0
P00069,postgresB,P00023,0.0
P00070,postgresC,P00023,0.0
P00071,postgresB,P00024,0.0
P00072,postgresB,P00024,0.0
P00073,postgresA,P00024,0.0
P00074,postgresB,P00025,0.0
P00075,postgresA,P00025,0.0
P00076,postgresC,P00025,0.0
P00077,postgresA,P00026,0.0
P00078,postgresA,P00026,0.0
P00079,postgresB,P00026,0.0
P00080,postgresB,P00027,0.0
P00081,postgresB,P00027,0.0
P00082,postgresA,P00027,0.0
P00083,postgresA,P00028,0.0
P00084,postgresB,P00028,0.0
P00085,postgresA,P00028,0.0
P00086,postgresA,P00029,0.0
P00087,postgresC,P00029,0.0
P00088,postgresB,P00029,0.0
P00089,postgresC,P00030,0.0
P00090,postgresC,P00030,0.0
P00091,postgresA,P00030,0.0
P00092,postgresB,P00031,0.0
P00093,postgresA,P00031,0.0
P00094,postgresB,P00031,0.0
P00095,postgresC,P00032,0.0
P00096,postgresC,P00032,0.0
P00097,postgresA,P00032,0.0
P00098,postgresC,P00033,0.0
P00099,postgresB,P00033,0.0
P00100,postgresC,P00033,0.0
P00101,postgresB,P00034,0.0
P00102,postgresC,P00034,0.0
P00103,postgresA,P00034,0.0
P00104,postgresB,P00035,0.0
P00105,postgresB,P00035,0.0
P00106,postgresA,P00035,0.0
P00107,postgresC,P00036,0.0
P00108,postgresB,P00036,0.0
P00109,postgresA,P00036,0.0
P00110,postgresB,P00037,0.0
P00111,postgresA,P00037,0.0
P00112,postgresA,P00037,0.0
P00113,postgresB,P00038,0.0
P00114,postgresC,P00038,0.0
P00115,postgresC,P00038,0.0
P00116,postgresC,P00039,0.0
P00117,postgresC,P00039,0.0
P00118,postgresB,P00039,0.0
P00119,postgresA,P00040,0.0
P00120,postgresC,P00040,0.0
P00121,postgresB,P00040,0.0
P00122,postgresC,P00041,0.0
P00123,postgresB,P00041,0.0
P00124,postgresB,P00041,0.0
P00125,postgresC,P00042,0.0
P00126,postgresB,P00042,0.0
P00127,postgresA,P00042,0.0
P00128,postgresB,P00043,0.0
P00129,postgresC,P00043,0.0
P00130,postgresA,P00043,0.0
P00131,postgresA,P00044,0.0
P00132,postgresA,P00044,0.0
P00133,postgresB,P00044,0.0
P00134,postgresC,P00045,0.0
P00135,postgresC,P00045,0.0
P00136,postgresA,P00045,0.0
P00137,postgresC,P00046,0.0
P00138,postgresA,P00046,0.0
P00139,postgresC,P00046,0.0
P00140,postgresA,P00047,0.0
P00141,postgresC,P00047,0.0
P00142,postgresA,P00047,0.0
P00143,postgresA,P00048,0.0
P00144,postgresC,P00048,0.0
P00145,postgresA,P00048,0.0
P00146,postgresA,P00049,0.0
P00147,postgresB,P00049,0.0
P00148,postgresA,P00049,0.0
P00149,postgresA,P00050,0.0
P00150,postgresC,P00050,0.0
P00151,postgresC,P00050,0.0
P00152,postgresB,P00051,0.0
P00153,postgresB,P00051,0.0
P00154,postgresC,P00051,0.0
P00155,postgresB,P00052,0.0
P00156,postgresB,P00052,0.0
P00157,postgresC,P00052,0.0
P00158,postgresA,P00053,0.0
P00159,postgresB,P00053,0.0
P00160,postgresB,P00053,0.0
P00161,postgresA,P00054,0.0
P00162,postgresC,P00054,0.0
P00163,postgresB,P00054,0.0
P00164,postgresB,P00055,0.0
P00165,postgresB,P00055,0.0
P00166,postgresC,P00055,0.0
P00167,postgresC,P00056,0.0
P00168,postgresB,P00056,0.0
P00169,postgresB,P00056,0.0
P00170,postgresC,P00057,0.0
P00171,postgresB,P00057,0.0
P00172,postgresB,P00057,0.0
P00173,postgresC,P00058,0.0
P00174,postgresB,P00058,0.0
